time;iter;L;U
25;0;0.00;inf
76;1;0.00;inf
126;2;0.00;872.00
174;3;0.00;872.00
222;4;0.00;872.00
268;5;0.00;872.00
313;6;0.00;872.00
361;7;0.00;872.00
406;8;0.00;872.00
448;9;0.00;872.00
491;10;0.00;872.00
538;11;0.00;872.00
583;12;0.00;872.00
630;13;0.00;872.00
674;14;0.00;872.00
717;15;0.00;872.00
758;16;0.00;872.00
799;17;0.00;872.00
839;18;0.00;872.00
876;19;0.00;872.00
917;20;0.00;872.00
958;21;0.00;872.00
1000;22;0.00;872.00
1042;23;0.00;580.00
1086;24;0.00;580.00
1128;25;0.00;445.00
1177;26;0.00;445.00
1218;27;0.00;445.00
1255;28;0.00;445.00
1292;29;0.00;445.00
1330;30;0.00;445.00
1367;31;0.00;445.00
1405;32;0.00;445.00
1446;33;0.00;445.00
1486;34;0.00;445.00
1525;35;0.00;445.00
1563;36;0.00;445.00
1600;37;0.00;445.00
1634;38;0.00;445.00
1667;39;0.00;445.00
1698;40;0.00;445.00
1740;41;0.00;445.00
1779;42;0.00;445.00
1816;43;0.00;445.00
1850;44;0.00;445.00
1887;45;0.00;445.00
1931;46;0.00;445.00
1973;47;0.00;445.00
2015;48;0.00;445.00
2055;49;0.00;445.00
2091;50;0.00;445.00
2129;51;0.00;445.00
2165;52;0.00;445.00
2198;53;0.00;445.00
2231;54;0.00;445.00
2271;55;0.00;445.00
2316;56;0.00;445.00
2356;57;0.00;445.00
2394;58;0.00;445.00
2431;59;0.00;445.00
2465;60;0.00;445.00
2500;61;0.00;445.00
2539;62;0.00;445.00
2577;63;0.00;445.00
2616;64;0.00;445.00
2658;65;0.00;445.00
2692;66;0.00;445.00
2724;67;0.00;445.00
2758;68;0.00;445.00
2791;69;0.00;445.00
2826;70;0.00;445.00
2865;71;0.00;445.00
2902;72;0.00;445.00
2941;73;0.00;445.00
2977;74;0.00;445.00
3013;75;0.00;445.00
3054;76;0.00;445.00
3095;77;0.00;445.00
3141;78;0.00;429.00
3175;79;0.00;429.00
3206;80;0.00;429.00
3242;81;0.00;429.00
3284;82;0.00;429.00
3328;83;0.00;429.00
3362;84;0.00;429.00
3400;85;0.00;429.00
3440;86;0.00;429.00
3474;87;0.00;429.00
3506;88;0.00;429.00
3541;89;0.00;429.00
3576;90;0.00;429.00
3613;91;0.00;429.00
3648;92;0.00;429.00
3679;93;0.00;429.00
3711;94;0.00;429.00
3745;95;0.00;348.00
3779;96;0.00;348.00
3818;97;0.00;348.00
3845;98;0.00;348.00
3883;99;0.00;348.00
3919;100;0.00;348.00
3959;101;0.00;348.00
3994;102;0.00;348.00
4033;103;0.00;348.00
4070;104;0.00;348.00
4105;105;0.00;348.00
4139;106;0.00;348.00
4185;107;0.00;348.00
4229;108;0.00;348.00
4273;109;0.00;348.00
4311;110;0.00;348.00
4349;111;0.00;348.00
4385;112;0.00;348.00
4423;113;0.00;348.00
4460;114;0.00;348.00
4495;115;0.00;348.00
4529;116;0.00;348.00
4562;117;0.00;348.00
4595;118;0.00;348.00
4630;119;0.00;348.00
4674;120;0.00;348.00
4714;121;0.00;348.00
4753;122;0.00;348.00
4788;123;0.00;348.00
4822;124;0.00;348.00
4856;125;0.00;348.00
4889;126;0.00;348.00
4920;127;0.00;348.00
4949;128;0.00;348.00
4985;129;0.00;348.00
5019;130;0.00;348.00
5050;131;0.00;348.00
5082;132;0.00;348.00
5116;133;0.00;348.00
5149;134;0.00;348.00
5184;135;0.00;348.00
5215;136;0.00;348.00
5245;137;0.00;348.00
5271;138;0.00;348.00
5313;139;0.00;348.00
5343;140;0.00;348.00
5382;141;0.00;348.00
5423;142;0.00;348.00
5465;143;0.00;348.00
5507;144;0.00;348.00
5551;145;0.00;348.00
5605;146;0.00;163.00
5642;147;0.00;163.00
5694;148;0.00;163.00
5770;149;0.00;163.00
5824;150;0.00;163.00
5863;151;0.00;163.00
5909;152;0.00;163.00
5956;153;0.00;163.00
5993;154;0.00;163.00
6029;155;0.00;163.00
6064;156;0.00;163.00
6101;157;0.00;163.00
6134;158;0.00;163.00
6169;159;0.00;163.00
6211;160;0.00;163.00
6246;161;0.00;163.00
6284;162;0.00;163.00
6317;163;0.00;163.00
6348;164;0.00;163.00
6386;165;0.00;163.00
6419;166;0.00;163.00
6449;167;0.00;163.00
6477;168;0.00;163.00
6504;169;0.00;163.00
6528;170;0.00;163.00
6556;171;0.00;163.00
6581;172;0.00;163.00
6620;173;0.00;163.00
6659;174;0.00;163.00
6696;175;0.00;163.00
6734;176;0.00;163.00
6785;177;0.00;163.00
6822;178;0.00;163.00
6887;179;0.00;163.00
6966;180;0.00;163.00
7012;181;0.00;163.00
7065;182;0.00;163.00
7116;183;0.00;163.00
7161;184;0.00;163.00
7195;185;0.00;163.00
7227;186;0.00;163.00
7274;187;0.00;70.00
7314;188;0.00;70.00
7350;189;0.00;70.00
7386;190;0.00;70.00
7425;191;0.00;70.00
7457;192;0.00;70.00
7490;193;0.00;70.00
7521;194;0.00;70.00
7549;195;0.00;70.00
7580;196;0.00;70.00
7610;197;0.00;70.00
7640;198;0.00;70.00
7668;199;0.00;70.00
7706;200;0.00;70.00
7740;201;0.00;70.00
7775;202;0.00;70.00
7810;203;0.00;70.00
7846;204;0.00;70.00
7880;205;0.00;70.00
7913;206;0.00;70.00
7948;207;0.00;70.00
7979;208;0.00;70.00
8013;209;0.00;70.00
8052;210;0.00;70.00
8083;211;0.00;70.00
8118;212;0.00;70.00
8153;213;0.00;70.00
8178;214;0.00;70.00
8226;215;0.00;70.00
8271;216;0.00;70.00
8318;217;0.00;70.00
8358;218;0.00;70.00
8395;219;0.00;70.00
8430;220;0.00;70.00
8466;221;0.00;70.00
8516;222;0.00;70.00
8565;223;0.00;70.00
8606;224;0.00;70.00
8646;225;0.00;70.00
8682;226;0.00;70.00
8719;227;0.00;70.00
8756;228;0.00;70.00
8792;229;0.00;70.00
8825;230;0.00;70.00
8862;231;0.00;70.00
8899;232;0.00;70.00
8945;233;0.00;70.00
8975;234;0.00;70.00
9006;235;0.00;70.00
9041;236;0.00;70.00
9069;237;0.00;70.00
9098;238;0.00;70.00
9135;239;0.00;70.00
9176;240;0.00;70.00
9212;241;0.00;70.00
9247;242;0.00;70.00
9292;243;0.00;70.00
9322;244;0.00;70.00
9365;245;0.00;70.00
9404;246;0.00;70.00
9440;247;0.00;70.00
9482;248;0.00;70.00
9514;249;0.00;70.00
9546;250;0.00;70.00
9581;251;0.00;70.00
9623;252;0.00;70.00
9668;253;0.00;70.00
9708;254;0.00;70.00
9739;255;0.00;70.00
9774;256;0.00;70.00
9809;257;0.00;70.00
9843;258;0.00;70.00
9888;259;0.00;70.00
9927;260;0.00;70.00
9961;261;0.00;70.00
9993;262;0.00;70.00
10022;263;0.00;70.00
10054;264;0.00;70.00
10092;265;0.00;70.00
10130;266;0.00;70.00
10166;267;0.00;70.00
10200;268;0.00;70.00
10231;269;0.00;70.00
10262;270;0.00;70.00
10297;271;0.00;70.00
10326;272;0.00;70.00
10353;273;0.00;70.00
10391;274;0.00;70.00
10427;275;0.00;70.00
10463;276;0.00;70.00
10496;277;0.00;70.00
10535;278;0.00;70.00
10570;279;0.00;70.00
10604;280;0.00;70.00
10635;281;0.00;70.00
10667;282;0.00;70.00
10704;283;0.00;70.00
10744;284;0.00;70.00
10784;285;0.00;70.00
10825;286;0.00;70.00
10864;287;0.00;70.00
10902;288;0.00;70.00
10935;289;0.00;70.00
10965;290;0.00;70.00
10994;291;0.00;70.00
11021;292;0.00;70.00
11057;293;0.00;70.00
11090;294;0.00;70.00
11124;295;0.00;70.00
11154;296;0.00;70.00
11192;297;0.00;70.00
11227;298;0.00;70.00
11258;299;0.00;70.00
11290;300;0.00;70.00
11330;301;0.00;70.00
11374;302;0.00;70.00
11406;303;0.00;70.00
11441;304;0.00;70.00
11474;305;0.00;70.00
11517;306;0.00;70.00
11551;307;0.00;70.00
11580;308;0.00;70.00
11612;309;0.00;70.00
11650;310;0.00;70.00
11687;311;0.00;70.00
11736;312;0.00;70.00
11766;313;0.00;70.00
11803;314;0.00;70.00
11835;315;0.00;70.00
11876;316;0.00;70.00
11917;317;0.00;70.00
11958;318;0.00;70.00
11983;319;0.00;70.00
12018;320;0.00;70.00
12054;321;0.00;70.00
12078;322;0.00;70.00
12101;323;0.00;70.00
12125;324;0.00;70.00
12162;325;0.00;70.00
12191;326;0.00;70.00
12230;327;0.00;70.00
12266;328;0.00;70.00
12309;329;0.00;70.00
12360;330;0.00;70.00
12412;331;0.00;70.00
12450;332;0.00;70.00
12488;333;0.00;70.00
12528;334;0.00;70.00
12567;335;0.00;70.00
12605;336;0.00;70.00
12644;337;0.00;70.00
12679;338;0.00;70.00
12714;339;0.00;70.00
12757;340;0.00;70.00
12797;341;0.00;70.00
12840;342;0.00;70.00
