time;iter;L;U
237;0;1415.00;inf
788;1;1415.00;inf
1255;2;1415.00;inf
1665;3;1415.00;inf
2083;4;1415.00;inf
2383;5;1415.00;inf
2799;6;1415.00;inf
3195;7;1415.00;inf
3639;8;1415.00;inf
4063;9;1415.00;inf
4476;10;1415.00;inf
4907;11;1415.00;inf
5345;12;1415.00;inf
5778;13;1415.00;inf
6228;14;1415.00;inf
6659;15;1415.00;inf
7094;16;1415.00;inf
7538;17;1415.00;inf
7973;18;1415.00;inf
8405;19;1415.00;inf
8878;20;1415.00;inf
9317;21;1415.00;inf
9781;22;1415.00;inf
10254;23;1415.00;inf
10558;24;1415.00;inf
10997;25;1415.00;inf
11437;26;1415.00;inf
11907;27;1415.00;inf
12361;28;1415.00;inf
12781;29;1415.00;inf
13207;30;1415.00;inf
13661;31;1415.00;inf
13960;32;1415.00;inf
14399;33;1415.00;inf
14834;34;1415.00;inf
15286;35;1415.00;inf
15733;36;1415.00;inf
16159;37;1415.00;inf
16565;38;1415.00;inf
16863;39;1415.00;inf
17314;40;1415.00;inf
17767;41;1415.00;inf
18235;42;1415.00;inf
18559;43;1415.00;inf
18994;44;1415.00;inf
19408;45;1415.00;inf
19835;46;1415.00;inf
20295;47;1415.00;inf
20739;48;1415.00;inf
21167;49;1415.00;inf
21627;50;1415.00;inf
22094;51;1415.00;inf
22412;52;1415.00;inf
22858;53;1415.00;inf
23318;54;1415.00;inf
23787;55;1451.25;inf
24259;56;1451.25;inf
24747;57;1451.25;inf
25251;58;1451.25;inf
25680;59;1451.25;inf
26122;60;1451.25;inf
26568;61;1451.25;inf
27022;62;1451.25;inf
27475;63;1451.25;inf
27946;64;1451.25;inf
28374;65;1451.25;inf
28808;66;1451.25;inf
29277;67;1451.25;inf
29702;68;1451.25;inf
30148;69;1451.25;inf
30589;70;1451.25;inf
31074;71;1451.25;inf
31573;72;1451.25;inf
32081;73;1451.25;inf
32437;74;1451.25;inf
32895;75;1451.25;inf
33344;76;1451.25;inf
33669;77;1451.25;inf
34165;78;1460.00;inf
34641;79;1460.00;inf
35091;80;1460.00;inf
35455;81;1460.00;inf
35789;82;1460.00;inf
36209;83;1460.00;inf
36670;84;1460.00;inf
37129;85;1460.00;inf
37568;86;1460.00;inf
37903;87;1460.00;inf
38360;88;1460.00;inf
38692;89;1460.00;inf
39035;90;1460.00;inf
39510;91;1460.00;inf
39979;92;1460.00;inf
40434;93;1460.00;inf
40759;94;1460.00;inf
41212;95;1460.00;inf
41664;96;1460.00;inf
42015;97;1460.00;inf
42342;98;1460.00;inf
42764;99;1460.00;inf
43097;100;1460.00;inf
43571;101;1460.00;inf
43887;102;1460.00;inf
44363;103;1465.00;inf
44830;104;1465.00;inf
45299;105;1465.00;inf
45779;106;1465.00;inf
46242;107;1465.00;inf
46565;108;1465.00;inf
47026;109;1465.00;inf
47505;110;1465.00;inf
47936;111;1465.00;inf
48400;112;1470.00;inf
48880;113;1470.00;inf
49367;114;1470.00;inf
49810;115;1476.25;inf
50213;116;1476.25;inf
50706;117;1476.25;inf
51158;118;1476.25;inf
51493;119;1476.25;inf
51964;120;1476.25;inf
52425;121;1476.25;inf
52777;122;1476.25;inf
53120;123;1476.25;inf
