time;iter;L;U
26;0;5480.61;inf
86;1;5501.60;inf
150;2;5506.58;inf
201;3;5513.43;inf
261;4;5519.30;inf
336;5;5546.83;inf
398;6;5593.75;inf
444;7;5620.61;inf
491;8;5626.52;inf
543;9;5630.82;inf
589;10;5633.92;inf
639;11;5636.52;inf
684;12;5642.80;inf
732;13;5655.59;inf
775;14;5656.70;inf
819;15;5662.65;inf
866;16;5668.47;inf
915;17;5689.57;inf
963;18;5691.46;inf
1016;19;5693.76;inf
1073;20;5695.81;inf
1129;21;5699.27;inf
1180;22;5702.58;inf
1228;23;5703.43;inf
1277;24;5710.34;inf
1336;25;5710.93;inf
1388;26;5712.22;inf
1447;27;5713.11;inf
1509;28;5713.42;inf
1576;29;5714.23;inf
1637;30;5716.42;inf
1696;31;5718.56;inf
1766;32;5719.06;inf
1813;33;5721.87;inf
1863;34;5725.00;inf
1914;35;5732.32;inf
1963;36;5734.82;inf
2018;37;5736.75;inf
2067;38;5739.20;inf
2116;39;5740.54;inf
2192;40;5742.35;inf
2262;41;5747.11;inf
2322;42;5747.93;inf
2398;43;5750.58;inf
2471;44;5750.92;inf
2545;45;5754.49;inf
2610;46;5761.25;inf
2671;47;5762.15;inf
2737;48;5762.96;inf
2806;49;5766.21;inf
2869;50;5770.36;inf
2944;51;5782.14;inf
3016;52;5784.88;inf
3096;53;5785.77;inf
3163;54;5789.90;inf
3238;55;5792.62;inf
3301;56;5794.51;inf
3372;57;5795.21;inf
3449;58;5795.54;inf
3526;59;5797.06;inf
3595;60;5799.62;inf
3672;61;5800.01;inf
3734;62;5800.85;inf
3794;63;5801.78;inf
3867;64;5801.89;inf
3951;65;5802.96;inf
4035;66;5803.09;inf
4119;67;5803.53;inf
4200;68;5804.01;inf
4273;69;5807.19;inf
4352;70;5807.69;inf
4423;71;5807.99;inf
4496;72;5808.69;inf
4583;73;5811.47;inf
4654;74;5812.86;inf
4723;75;5814.39;inf
4789;76;5816.10;inf
4848;77;5817.71;inf
4924;78;5818.83;inf
4987;79;5819.17;inf
5053;80;5819.31;inf
5126;81;5821.46;inf
5193;82;5824.16;inf
5259;83;5825.73;inf
5333;84;5825.80;inf
5391;85;5826.61;inf
5453;86;5828.23;inf
5523;87;5828.74;inf
5607;88;5830.35;inf
5682;89;5830.43;inf
5746;90;5831.01;inf
5810;91;5831.13;inf
5870;92;5831.43;inf
5948;93;5831.43;inf
6006;94;5833.05;inf
6059;95;5834.75;inf
6120;96;5835.39;inf
6177;97;5836.60;inf
6236;98;5838.27;inf
6292;99;5838.33;inf
6347;100;5839.14;inf
6400;101;5839.85;inf
6450;102;5840.25;inf
6508;103;5840.93;inf
6563;104;5842.04;inf
6612;105;5842.19;inf
6665;106;5845.67;inf
6719;107;5846.21;inf
6771;108;5846.99;inf
6824;109;5847.01;inf
6876;110;5847.65;inf
6925;111;5848.42;inf
6975;112;5849.42;inf
7026;113;5849.69;inf
7071;114;5851.85;inf
7127;115;5851.87;inf
7176;116;5853.37;inf
7222;117;5853.84;inf
7271;118;5854.14;inf
7330;119;5854.28;inf
7379;120;5855.83;inf
7425;121;5858.69;inf
7470;122;5859.06;inf
7524;123;5859.37;inf
7586;124;5861.91;inf
7632;125;5862.68;inf
7682;126;5862.87;inf
7741;127;5863.30;inf
7789;128;5863.73;inf
7835;129;5863.82;inf
7882;130;5864.09;inf
7936;131;5864.17;inf
7986;132;5865.95;inf
8034;133;5866.90;inf
8082;134;5867.53;inf
8135;135;5867.66;inf
8184;136;5869.51;inf
8230;137;5869.53;inf
8278;138;5870.95;inf
8332;139;5871.08;inf
8375;140;5871.41;inf
8426;141;5871.60;inf
8474;142;5871.96;inf
8520;143;5873.37;inf
8572;144;5873.60;inf
8619;145;5874.68;inf
8668;146;5874.94;inf
8711;147;5875.00;inf
8768;148;5876.63;inf
8818;149;5877.22;inf
8864;150;5878.59;inf
8911;151;5878.64;inf
8968;152;5879.32;inf
9022;153;5880.98;inf
9070;154;5881.27;inf
9122;155;5881.40;inf
9171;156;5881.40;inf
9218;157;5882.06;inf
9265;158;5882.93;inf
9314;159;5883.04;inf
9366;160;5883.26;inf
9416;161;5884.33;inf
9465;162;5884.45;inf
9516;163;5884.83;inf
9573;164;5884.85;inf
9622;165;5885.37;inf
9670;166;5885.95;inf
9720;167;5886.54;inf
9770;168;5886.79;inf
9817;169;5888.88;inf
9868;170;5888.91;inf
9917;171;5889.82;inf
9970;172;5890.06;inf
10025;173;5890.14;inf
10077;174;5890.35;inf
10123;175;5890.99;inf
10170;176;5891.18;inf
10234;177;5891.44;inf
10284;178;5891.51;inf
10334;179;5891.75;inf
10387;180;5892.75;inf
10442;181;5892.99;inf
10486;182;5893.15;inf
10536;183;5893.49;inf
10598;184;5894.62;inf
10650;185;5894.97;inf
10702;186;5895.08;inf
10750;187;5895.24;inf
10805;188;5895.82;inf
10854;189;5897.84;inf
10903;190;5897.96;inf
10955;191;5898.07;inf
11010;192;5898.56;inf
11064;193;5899.50;inf
11113;194;5899.84;inf
11156;195;5900.40;inf
11213;196;5900.98;inf
11263;197;5901.08;inf
11310;198;5901.10;inf
11355;199;5901.12;inf
11407;200;5901.15;inf
11453;201;5901.16;inf
11500;202;5901.25;inf
11551;203;5901.61;inf
11600;204;5901.77;inf
11658;205;5901.78;inf
11702;206;5902.14;inf
11745;207;5902.92;inf
11796;208;5904.35;inf
11855;209;5904.66;inf
11899;210;5904.90;inf
11960;211;5905.00;inf
12008;212;5905.01;inf
12059;213;5905.06;inf
12109;214;5905.07;inf
12160;215;5905.25;inf
12207;216;5905.32;inf
12257;217;5905.36;inf
12306;218;5905.81;inf
12354;219;5907.67;inf
12403;220;5908.13;inf
12454;221;5908.42;inf
12504;222;5908.73;inf
12560;223;5909.01;inf
12610;224;5909.39;inf
12663;225;5909.88;inf
12711;226;5909.89;inf
12756;227;5910.64;inf
12808;228;5910.88;inf
12863;229;5912.80;inf
12918;230;5912.89;inf
12967;231;5912.92;inf
13023;232;5913.37;inf
13087;233;5913.44;inf
13140;234;5913.71;inf
13187;235;5914.82;inf
13239;236;5914.99;inf
13291;237;5915.21;inf
13340;238;5915.24;inf
13395;239;5915.39;inf
13443;240;5915.66;inf
13500;241;5915.77;inf
13548;242;5916.04;inf
13601;243;5916.37;inf
13648;244;5916.88;inf
13701;245;5917.00;inf
13749;246;5917.08;inf
13799;247;5917.08;inf
13845;248;5917.21;inf
13894;249;5917.41;inf
13944;250;5918.00;inf
13992;251;5918.00;inf
14054;252;5918.39;inf
14111;253;5918.65;inf
14160;254;5918.67;inf
14210;255;5918.72;inf
14258;256;5918.76;inf
14312;257;5918.87;inf
14361;258;5918.98;inf
