time;iter;L;U
205;0;1415.00;inf
626;1;1415.00;inf
1033;2;1415.00;inf
1432;3;1415.00;inf
1803;4;1415.00;inf
2172;5;1415.00;inf
2544;6;1415.00;inf
2914;7;1415.00;inf
3272;8;1415.00;inf
3657;9;1415.00;inf
4032;10;1415.00;inf
4408;11;1415.00;inf
4791;12;1415.00;inf
5164;13;1415.00;inf
5547;14;1415.00;inf
5930;15;1415.00;inf
6319;16;1415.00;inf
6687;17;1415.00;inf
7082;18;1415.00;inf
7466;19;1415.00;inf
7830;20;1415.00;inf
8212;21;1415.00;inf
8604;22;1415.00;inf
9031;23;1418.33;inf
9443;24;1418.33;inf
9853;25;1420.00;inf
10272;26;1420.00;inf
10687;27;1421.67;inf
11127;28;1422.10;inf
11549;29;1422.15;inf
11955;30;1422.15;inf
12391;31;1422.37;inf
12827;32;1422.55;inf
13258;33;1422.55;inf
13673;34;1422.93;inf
14070;35;1422.93;inf
14477;36;1423.01;inf
14889;37;1423.16;inf
15342;38;1423.33;inf
15761;39;1423.56;inf
16183;40;1423.92;inf
16587;41;1423.98;inf
16997;42;1424.17;inf
17437;43;1424.31;inf
17873;44;1425.64;inf
18311;45;1425.83;inf
18749;46;1425.83;inf
19183;47;1425.95;inf
19606;48;1425.95;inf
20045;49;1426.18;inf
20490;50;1426.18;inf
20911;51;1426.49;inf
21333;52;1426.59;inf
21770;53;1426.79;inf
22195;54;1426.96;inf
22622;55;1427.01;inf
23048;56;1427.08;inf
23499;57;1427.08;inf
23914;58;1427.22;inf
24349;59;1427.45;inf
24772;60;1427.52;inf
25188;61;1427.69;inf
25638;62;1428.25;inf
26057;63;1428.39;inf
26472;64;1428.42;inf
26925;65;1428.95;inf
27374;66;1429.00;inf
27829;67;1429.52;inf
28224;68;1435.59;inf
28616;69;1436.25;inf
28982;70;1442.50;inf
29393;71;1452.50;inf
29833;72;1454.46;inf
30273;73;1454.59;inf
30719;74;1454.75;inf
31179;75;1454.83;inf
31626;76;1455.00;inf
32075;77;1455.00;inf
32524;78;1455.38;inf
32969;79;1456.30;inf
33433;80;1456.79;inf
33902;81;1457.50;inf
34374;82;1458.61;inf
34845;83;1458.75;inf
35275;84;1458.79;inf
35720;85;1459.23;inf
36171;86;1459.58;inf
36601;87;1460.00;inf
37024;88;1460.00;inf
37460;89;1460.00;inf
37879;90;1460.00;inf
38290;91;1460.00;inf
38693;92;1463.33;inf
39141;93;1463.33;inf
39547;94;1464.00;inf
39962;95;1465.00;inf
40398;96;1465.83;inf
40826;97;1466.07;inf
41242;98;1466.07;inf
41654;99;1466.07;inf
42072;100;1466.50;inf
42484;101;1466.50;inf
42919;102;1467.92;inf
43338;103;1469.50;inf
43754;104;1470.71;inf
44186;105;1471.67;inf
44606;106;1472.50;inf
45043;107;1472.50;inf
45482;108;1473.12;inf
45910;109;1473.50;inf
46372;110;1473.50;inf
46783;111;1473.50;inf
47232;112;1475.00;inf
47650;113;1475.00;inf
48091;114;1475.19;inf
48564;115;1477.25;inf
49030;116;1477.50;inf
49523;117;1478.50;inf
49987;118;1478.75;inf
50475;119;1478.99;inf
50980;120;1480.00;inf
51421;121;1480.00;inf
51842;122;1480.13;inf
52311;123;1481.67;inf
52696;124;1483.75;inf
53144;125;1483.75;inf
53586;126;1483.75;inf
54017;127;1484.00;inf
54400;128;1484.52;inf
54948;129;1485.00;inf
55359;130;1485.00;inf
55742;131;1485.00;inf
56178;132;1486.25;inf
56621;133;1486.67;inf
57035;134;1486.67;inf
57464;135;1486.67;inf
57903;136;1486.67;inf
58325;137;1486.67;inf
58770;138;1487.50;inf
59227;139;1487.86;inf
59675;140;1489.00;inf
60107;141;1489.36;inf
60545;142;1490.31;inf
61010;143;1490.42;inf
61487;144;1490.45;inf
61980;145;1491.84;inf
62444;146;1492.09;inf
62904;147;1492.27;inf
63361;148;1492.50;inf
63796;149;1492.63;inf
64222;150;1493.21;inf
64689;151;1493.33;inf
65150;152;1493.33;inf
65595;153;1493.33;inf
66033;154;1497.50;inf
66459;155;1497.50;inf
66898;156;1497.50;inf
67330;157;1498.00;inf
67798;158;1498.33;inf
68215;159;1498.33;inf
68639;160;1502.50;inf
69090;161;1502.50;inf
69530;162;1502.50;inf
69971;163;1504.16;inf
70416;164;1505.00;inf
70855;165;1507.50;inf
71240;166;1509.16;inf
71703;167;1511.64;inf
72148;168;1511.67;inf
72623;169;1513.75;inf
73060;170;1516.59;inf
73528;171;1517.19;inf
73872;172;1517.23;inf
74231;173;1517.50;inf
74677;174;1517.55;inf
75020;175;1518.27;inf
75396;176;1518.38;inf
75888;177;1518.62;inf
76251;178;1518.62;inf
