time;iter;L;U
223;0;1415.00;inf
747;1;1415.00;inf
1133;2;1415.00;inf
1508;3;1415.00;inf
1870;4;1415.00;inf
2233;5;1415.00;inf
2611;6;1415.00;inf
2982;7;1415.00;inf
3372;8;1415.00;inf
3764;9;1415.00;inf
4133;10;1415.00;inf
4502;11;1415.00;inf
4888;12;1415.00;inf
5283;13;1415.00;inf
5663;14;1415.00;inf
6058;15;1415.00;inf
6441;16;1415.00;inf
6834;17;1415.00;inf
7214;18;1415.00;inf
7644;19;1415.00;inf
8043;20;1415.00;inf
8483;21;1415.00;inf
8852;22;1415.00;inf
9288;23;1418.33;inf
9732;24;1418.33;inf
10165;25;1420.38;inf
10591;26;1420.38;inf
10993;27;1420.56;inf
11391;28;1420.56;inf
11831;29;1420.71;inf
12259;30;1421.52;inf
12668;31;1421.52;inf
13087;32;1421.52;inf
13495;33;1421.61;inf
13932;34;1421.73;inf
14342;35;1421.79;inf
14787;36;1421.79;inf
15188;37;1421.87;inf
15622;38;1421.91;inf
16067;39;1422.25;inf
16493;40;1422.44;inf
16901;41;1422.44;inf
17330;42;1422.88;inf
17784;43;1423.33;inf
18247;44;1423.75;inf
18718;45;1423.75;inf
19153;46;1424.00;inf
19604;47;1424.00;inf
20041;48;1424.12;inf
20511;49;1424.17;inf
20972;50;1424.62;inf
21417;51;1424.64;inf
21855;52;1424.64;inf
22288;53;1424.67;inf
22776;54;1424.67;inf
23267;55;1425.38;inf
23750;56;1425.38;inf
24162;57;1426.33;inf
24594;58;1426.33;inf
25082;59;1427.14;inf
25615;60;1427.35;inf
26129;61;1427.35;inf
26808;62;1427.35;inf
27273;63;1427.37;inf
27684;64;1427.50;inf
28102;65;1427.50;inf
28585;66;1427.50;inf
29176;67;1427.50;inf
29637;68;1428.33;inf
30109;69;1428.47;inf
30560;70;1428.61;inf
31027;71;1428.70;inf
31450;72;1428.97;inf
31873;73;1428.97;inf
32345;74;1429.02;inf
32803;75;1429.13;inf
33285;76;1429.29;inf
33720;77;1429.46;inf
34160;78;1430.00;inf
34588;79;1430.00;inf
35019;80;1430.74;inf
35453;81;1430.74;inf
35920;82;1430.83;inf
36368;83;1430.83;inf
36819;84;1430.88;inf
37261;85;1431.03;inf
37722;86;1431.03;inf
38110;87;1431.03;inf
38569;88;1431.03;inf
39040;89;1431.30;inf
39495;90;1431.67;inf
39985;91;1433.10;inf
40494;92;1433.93;inf
40962;93;1434.62;inf
41447;94;1434.81;inf
41942;95;1434.81;inf
42401;96;1434.90;inf
42823;97;1435.00;inf
43277;98;1435.22;inf
43747;99;1435.56;inf
44215;100;1436.43;inf
44752;101;1436.61;inf
45205;102;1436.85;inf
45737;103;1437.21;inf
46226;104;1437.22;inf
46714;105;1437.27;inf
47192;106;1437.92;inf
47647;107;1441.79;inf
48097;108;1441.79;inf
48553;109;1443.43;inf
48982;110;1443.43;inf
49395;111;1443.43;inf
49800;112;1443.46;inf
50240;113;1445.00;inf
50712;114;1445.00;inf
51145;115;1445.29;inf
51677;116;1452.14;inf
52205;117;1452.59;inf
52657;118;1452.62;inf
53095;119;1460.00;inf
53520;120;1460.00;inf
53949;121;1460.00;inf
54343;122;1460.00;inf
54743;123;1460.29;inf
55332;124;1461.43;inf
55745;125;1463.33;inf
56167;126;1464.50;inf
56622;127;1465.00;inf
57043;128;1468.12;inf
57442;129;1470.62;inf
57889;130;1470.62;inf
58300;131;1470.62;inf
58742;132;1472.08;inf
59154;133;1472.22;inf
59610;134;1472.50;inf
60045;135;1474.23;inf
60499;136;1474.37;inf
60919;137;1475.00;inf
61346;138;1475.00;inf
61799;139;1475.00;inf
62307;140;1475.00;inf
62747;141;1476.25;inf
63138;142;1476.87;inf
63603;143;1477.50;inf
64084;144;1480.56;inf
64536;145;1481.11;inf
65011;146;1481.73;inf
65487;147;1483.75;inf
66003;148;1483.75;inf
66457;149;1485.62;inf
66919;150;1486.82;inf
67409;151;1488.33;inf
67911;152;1488.33;inf
68388;153;1492.50;inf
68853;154;1492.50;inf
69254;155;1492.50;inf
69701;156;1492.50;inf
70141;157;1492.50;inf
70574;158;1492.50;inf
71026;159;1492.78;inf
71493;160;1493.75;inf
71968;161;1494.51;inf
72475;162;1496.75;inf
72918;163;1497.50;inf
73416;164;1497.50;inf
73880;165;1497.50;inf
74294;166;1497.50;inf
74733;167;1497.50;inf
75199;168;1497.50;inf
75622;169;1497.50;inf
76042;170;1498.00;inf
