time;iter;L;U
8790;0;1415.00;inf
21964;1;1415.00;inf
34474;2;1415.00;inf
46703;3;1415.00;inf
56069;4;1425.00;inf
68348;5;1427.83;inf
81894;6;1427.83;inf
94348;7;1427.86;inf
106033;8;1427.86;inf
117347;9;1427.86;inf
129482;10;1429.37;inf
141447;11;1429.37;inf
151046;12;1429.37;inf
163369;13;1429.67;inf
175494;14;1429.67;inf
187779;15;1430.00;inf
199134;16;1430.00;inf
211298;17;1430.30;inf
223788;18;1430.31;inf
234556;19;1430.31;inf
246453;20;1430.71;inf
257643;21;1431.67;inf
271272;22;1445.00;inf
283457;23;1448.85;inf
293865;24;1448.85;inf
304649;25;1448.85;inf
315276;26;1475.00;inf
323789;27;1497.50;inf
333590;28;1497.50;inf
345135;29;1497.50;inf
351455;30;1497.50;inf
359694;31;1497.50;inf
366374;32;1497.50;inf
374929;33;1497.50;inf
381287;34;1497.50;inf
389519;35;1500.59;inf
402341;36;1500.62;inf
415011;37;1501.94;inf
424575;38;1502.50;inf
434708;39;1506.25;inf
444828;40;1506.87;inf
453595;41;1507.50;inf
465785;42;1508.50;inf
476076;43;1510.00;inf
486947;44;1513.50;inf
499200;45;1514.29;inf
512215;46;1515.00;inf
523126;47;1520.83;inf
535971;48;1520.83;inf
550116;49;1520.91;inf
562845;50;1521.00;inf
575992;51;1521.00;inf
588319;52;1526.25;inf
596896;53;1526.25;inf
604520;54;1526.25;inf
612456;55;1526.25;inf
621773;56;1526.25;inf
630626;57;1528.43;inf
637446;58;1528.68;inf
646749;59;1530.00;inf
661890;60;1530.00;inf
668850;61;1530.00;inf
674391;62;1530.00;inf
681639;63;1530.00;inf
688913;64;1530.00;inf
695862;65;1530.00;inf
702824;66;1531.09;inf
708882;67;1532.20;inf
717679;68;1533.33;inf
727287;69;1533.33;inf
738802;70;1533.33;inf
750383;71;1535.00;inf
761309;72;1535.00;inf
768584;73;1535.00;inf
776078;74;1535.00;inf
786052;75;1535.00;inf
793337;76;1535.00;inf
803118;77;1536.25;inf
811640;78;1536.36;inf
825112;79;1536.59;inf
836283;80;1537.14;inf
849954;81;1538.75;inf
859308;82;1538.75;inf
869338;83;1540.00;inf
878324;84;1540.00;inf
891706;85;1540.00;inf
902163;86;1540.00;inf
914167;87;1541.61;inf
920352;88;1541.80;inf
929453;89;1541.87;inf
941748;90;1542.34;inf
953294;91;1542.68;inf
963869;92;1543.76;inf
969392;93;1544.02;inf
975864;94;1545.00;inf
986915;95;1545.00;inf
995634;96;1545.00;inf
1003447;97;1545.00;inf
1012507;98;1546.01;inf
1024998;99;1546.31;inf
1030383;100;1546.87;inf
1041364;101;1546.96;inf
1053756;102;1547.14;inf
1058828;103;1547.14;inf
1066440;104;1547.46;inf
1075319;105;1547.50;inf
1088154;106;1550.42;inf
1097062;107;1552.50;inf
1108692;108;1553.06;inf
1121204;109;1553.15;inf
1134462;110;1553.41;inf
1145694;111;1553.57;inf
1158536;112;1555.00;inf
1169540;113;1555.00;inf
1178038;114;1555.00;inf
1186422;115;1555.00;inf
1193377;116;1555.00;inf
1202406;117;1555.00;inf
1211899;118;1555.00;inf
1219133;119;1555.00;inf
1225289;120;1555.00;inf
1232583;121;1555.00;inf
1241920;122;1555.43;inf
1249287;123;1556.25;inf
1257389;124;1556.25;inf
1265794;125;1556.25;inf
1274701;126;1556.25;inf
1284203;127;1556.36;inf
1293462;128;1556.67;inf
1303091;129;1556.67;inf
1311143;130;1557.50;inf
1319405;131;1557.50;inf
1332845;132;1557.50;inf
1339971;133;1557.50;inf
1345992;134;1557.50;inf
1352956;135;1557.50;inf
1361538;136;1557.68;inf
1373667;137;1560.00;inf
1383712;138;1560.83;inf
1391807;139;1561.25;inf
1398468;140;1561.90;inf
1404972;141;1562.14;inf
1413289;142;1564.00;inf
1420535;143;1565.00;inf
1428181;144;1565.00;inf
1437575;145;1565.00;inf
1447099;146;1565.00;inf
1457586;147;1565.00;inf
1465796;148;1565.00;inf
1471326;149;1565.00;inf
1479289;150;1565.00;inf
1484848;151;1565.00;inf
1491305;152;1567.29;inf
1499341;153;1567.50;inf
1507475;154;1567.50;inf
1515160;155;1567.50;inf
1522320;156;1567.50;inf
1530483;157;1567.50;inf
1539003;158;1567.50;inf
1547753;159;1567.50;inf
1556510;160;1568.06;inf
1564273;161;1568.57;inf
1572113;162;1569.64;inf
1582193;163;1570.00;inf
1589665;164;1570.18;inf
1597569;165;1570.83;inf
1605269;166;1571.25;inf
1614595;167;1571.39;inf
1624758;168;1572.35;inf
1630920;169;1572.50;inf
1640541;170;1572.50;inf
1650724;171;1572.50;inf
1663903;172;1572.92;inf
1671872;173;1574.52;inf
1680695;174;1575.00;inf
1687064;175;1575.00;inf
1699265;176;1575.83;inf
1706641;177;1575.94;inf
1716090;178;1577.86;inf
1721442;179;1577.86;inf
1730827;180;1577.86;inf
1742612;181;1578.12;inf
1751383;182;1578.12;inf
1761960;183;1578.12;inf
1771490;184;1578.39;inf
1775940;185;1580.00;inf
1786807;186;1580.36;inf
1798943;187;1580.42;inf
1808934;188;1580.42;inf
1820245;189;1581.25;inf
1830958;190;1582.08;inf
1837166;191;1583.21;inf
1847460;192;1583.57;inf
1857689;193;1584.17;inf
1868974;194;1584.46;inf
1878647;195;1584.46;inf
1888567;196;1584.52;inf
1895717;197;1584.79;inf
1904116;198;1584.81;inf
1909047;199;1585.00;inf
1918204;200;1585.00;inf
