time;iter;L;U
771;0;5480.61;inf
2247;1;5541.86;inf
3673;2;5541.86;inf
4949;3;5541.86;inf
6290;4;5541.86;inf
7593;5;5541.86;inf
8846;6;5541.86;inf
10023;7;5541.86;inf
11150;8;5541.86;inf
12287;9;5541.86;inf
13312;10;5541.86;inf
13863;11;5541.86;inf
14420;12;5541.86;inf
14865;13;5541.86;inf
15269;14;5541.86;inf
15578;15;5541.86;inf
15857;16;5541.86;inf
16097;17;5541.86;11240.00
16203;18;5541.86;9170.00
16250;19;5541.86;9170.00
16296;20;5541.86;9030.00
16381;21;5541.86;9010.00
16417;22;5541.86;9010.00
16442;23;5541.86;9010.00
16474;24;5541.86;9010.00
16507;25;5541.86;9010.00
16612;26;5541.86;9010.00
16634;27;5541.86;9010.00
16733;28;5541.86;9010.00
16755;29;5541.86;9010.00
16825;30;5541.86;9010.00
16849;31;5541.86;9010.00
16951;32;5541.86;9010.00
16988;33;5541.86;9010.00
17025;34;5541.86;9010.00
17062;35;5541.86;9010.00
17100;36;5541.86;9010.00
17124;37;5541.86;9010.00
17148;38;5541.86;9010.00
17310;39;5541.86;9010.00
17516;40;5541.86;8970.00
17638;41;5541.86;8950.00
17759;42;5541.86;8950.00
17782;43;5541.86;8950.00
17874;44;5541.86;8950.00
17899;45;5541.86;8950.00
17925;46;5541.86;8950.00
17997;47;5541.86;8950.00
18126;48;5541.86;8950.00
18148;49;5541.86;8950.00
18230;50;5541.86;8950.00
18301;51;5541.86;8950.00
18326;52;5541.86;8950.00
18375;53;5541.86;8920.00
18448;54;5541.86;8920.00
18471;55;5541.86;8920.00
18566;56;5541.86;8920.00
18588;57;5541.86;8920.00
18707;58;5541.86;8920.00
18849;59;5541.86;8920.00
18873;60;5541.86;8920.00
18896;61;5541.86;8920.00
19013;62;5541.86;8920.00
19037;63;5541.86;8920.00
19180;64;5541.86;8920.00
19202;65;5541.86;8920.00
19289;66;5541.86;8920.00
19370;67;5541.86;8920.00
19404;68;5541.86;8920.00
19439;69;5541.86;8920.00
19462;70;5541.86;8920.00
19489;71;5541.86;8920.00
19582;72;5541.86;8920.00
19609;73;5541.86;8920.00
19688;74;5541.86;8920.00
19714;75;5541.86;8920.00
19861;76;5541.86;8920.00
19982;77;5541.86;8920.00
20064;78;5541.86;8920.00
20111;79;5541.86;8920.00
20134;80;5541.86;8920.00
20158;81;5541.86;8920.00
20271;82;5541.86;8920.00
20394;83;5541.86;8920.00
20418;84;5541.86;8920.00
20488;85;5541.86;8920.00
20514;86;5541.86;8920.00
20654;87;5541.86;8920.00
20675;88;5541.86;8920.00
20698;89;5541.86;8920.00
20823;90;5541.86;8920.00
20940;91;5541.86;8920.00
20963;92;5541.86;8920.00
21103;93;5541.86;8920.00
21127;94;5541.86;8920.00
21151;95;5541.86;8920.00
21275;96;5541.86;8920.00
21298;97;5541.86;8920.00
21425;98;5541.86;8920.00
21448;99;5541.86;8920.00
21565;100;5541.86;8920.00
21589;101;5541.86;8920.00
21673;102;5541.86;8920.00
21710;103;5541.86;8920.00
21746;104;5541.86;8920.00
21784;105;5541.86;8920.00
21858;106;5541.86;8920.00
21883;107;5541.86;8920.00
21908;108;5541.86;8920.00
22030;109;5541.86;8920.00
22147;110;5541.86;8920.00
22274;111;5541.86;8920.00
22391;112;5541.86;8920.00
22413;113;5541.86;8920.00
22537;114;5541.86;8920.00
22559;115;5541.86;8920.00
22583;116;5541.86;8920.00
22705;117;5541.86;8920.00
22729;118;5541.86;8920.00
22849;119;5541.86;8920.00
22873;120;5541.86;8920.00
22995;121;5541.86;8920.00
23017;122;5541.86;8920.00
23069;123;5541.86;8920.00
23106;124;5541.86;8920.00
23181;125;5541.86;8920.00
23208;126;5541.86;8920.00
23247;127;5541.86;8920.00
23301;128;5541.86;8920.00
23323;129;5541.86;8920.00
23411;130;5541.86;8920.00
23507;131;5541.86;8920.00
23528;132;5541.86;8920.00
23604;133;5541.86;8920.00
23628;134;5541.86;8920.00
23652;135;5541.86;8920.00
23765;136;5541.86;8920.00
23845;137;5541.86;8920.00
23867;138;5541.86;8920.00
23991;139;5541.86;8920.00
24012;140;5541.86;8920.00
24033;141;5541.86;8920.00
24161;142;5541.86;8920.00
24217;143;5541.86;8920.00
24268;144;5541.86;8920.00
24317;145;5541.86;8920.00
24393;146;5541.86;8920.00
24422;147;5541.86;8920.00
24456;148;5541.86;8920.00
24495;149;5541.86;8920.00
24520;150;5541.86;8920.00
24571;151;5541.86;8920.00
24609;152;5541.86;8920.00
24634;153;5541.86;8920.00
24687;154;5541.86;8920.00
24763;155;5541.86;8920.00
24788;156;5541.86;8920.00
24831;157;5541.86;8920.00
24872;158;5541.86;8920.00
24912;159;5541.86;8920.00
24940;160;5541.86;8920.00
25032;161;5541.86;8920.00
25086;162;5541.86;8920.00
25173;163;5541.86;8920.00
25197;164;5541.86;8920.00
25308;165;5541.86;8920.00
25332;166;5541.86;8920.00
25387;167;5541.86;8920.00
25431;168;5541.86;8920.00
25459;169;5541.86;8920.00
25506;170;5541.86;8920.00
25613;171;5541.86;8920.00
25721;172;5541.86;8920.00
25749;173;5541.86;8920.00
25775;174;5541.86;8920.00
25922;175;5541.86;8920.00
25946;176;5541.86;8920.00
25971;177;5541.86;8920.00
26022;178;5541.86;8920.00
26073;179;5541.86;8920.00
26096;180;5541.86;8920.00
26146;181;5541.86;8920.00
26229;182;5541.86;8920.00
26256;183;5541.86;8920.00
26333;184;5541.86;8920.00
26360;185;5541.86;8920.00
26411;186;5541.86;8920.00
26531;187;5541.86;8920.00
26555;188;5541.86;8920.00
26578;189;5541.86;8920.00
26638;190;5541.86;8920.00
26767;191;5541.86;8920.00
26790;192;5541.86;8920.00
26827;193;5541.86;8920.00
26902;194;5541.86;8920.00
26928;195;5541.86;8920.00
27068;196;5541.86;8920.00
27096;197;5541.86;8920.00
27123;198;5541.86;8920.00
27238;199;5541.86;8920.00
27379;200;5541.86;8920.00
27528;201;5541.86;8920.00
27551;202;5541.86;8920.00
27575;203;5541.86;8920.00
27656;204;5541.86;8920.00
27705;205;5541.86;8920.00
27751;206;5541.86;8920.00
27785;207;5541.86;8920.00
27818;208;5541.86;8920.00
27887;209;5541.86;8920.00
27911;210;5541.86;8920.00
27947;211;5541.86;8920.00
27982;212;5541.86;8920.00
28028;213;5541.86;8920.00
28113;214;5541.86;8920.00
28134;215;5541.86;8920.00
28169;216;5541.86;8920.00
28192;217;5541.86;8920.00
28241;218;5541.86;8920.00
28325;219;5541.86;8920.00
28347;220;5541.86;8920.00
28428;221;5541.86;8920.00
28449;222;5541.86;8920.00
28590;223;5541.86;8920.00
28612;224;5541.86;8920.00
28635;225;5541.86;8920.00
28685;226;5541.86;8920.00
28766;227;5541.86;8920.00
28789;228;5541.86;8920.00
28837;229;5541.86;8920.00
28860;230;5541.86;8920.00
28942;231;5541.86;8920.00
28967;232;5541.86;8920.00
29050;233;5541.86;8920.00
29133;234;5541.86;8920.00
29155;235;5541.86;8920.00
