time;iter;L;U
169;0;1415.00;inf
524;1;1415.00;inf
954;2;1415.00;inf
1399;3;1415.00;inf
1830;4;1415.00;inf
2284;5;1415.00;inf
2660;6;1415.00;inf
3049;7;1415.00;inf
3462;8;1415.00;inf
3697;9;1415.00;3345.00
4012;10;1415.00;3135.00
4365;11;1415.00;3135.00
4820;12;1415.00;3135.00
5112;13;1415.00;3135.00
5400;14;1415.00;3135.00
5831;15;1415.00;3135.00
6248;16;1415.00;3135.00
6547;17;1415.00;3135.00
6838;18;1415.00;3135.00
7278;19;1415.00;3135.00
7706;20;1415.00;3135.00
8130;21;1415.00;3135.00
8539;22;1415.00;3135.00
8842;23;1415.00;3135.00
9257;24;1415.00;3135.00
9550;25;1415.00;3110.00
9975;26;1415.00;3110.00
10274;27;1415.00;3110.00
10614;28;1415.00;3110.00
10873;29;1415.00;3110.00
11324;30;1415.00;3110.00
11684;31;1415.00;3110.00
12052;32;1415.00;3110.00
12509;33;1415.00;3110.00
12909;34;1415.00;3110.00
13218;35;1415.00;3110.00
13635;36;1415.00;3110.00
13880;37;1415.00;3110.00
14231;38;1415.00;3110.00
14656;39;1415.00;3110.00
14887;40;1415.00;3110.00
15302;41;1415.00;3110.00
15566;42;1415.00;3110.00
15910;43;1415.00;3110.00
16116;44;1415.00;3110.00
16332;45;1415.00;3110.00
16658;46;1415.00;3110.00
17128;47;1415.00;3110.00
17555;48;1415.00;3110.00
17842;49;1415.00;3050.00
18094;50;1415.00;3050.00
18563;51;1415.00;3050.00
18955;52;1415.00;3050.00
19349;53;1415.00;3050.00
19696;54;1415.00;3050.00
20063;55;1415.00;3050.00
20512;56;1415.00;3050.00
20813;57;1415.00;3050.00
21213;58;1415.00;3050.00
21575;59;1415.00;3050.00
21895;60;1415.00;3050.00
22345;61;1415.00;3050.00
22626;62;1415.00;3050.00
23044;63;1415.00;3050.00
23389;64;1415.00;3050.00
23900;65;1415.00;3050.00
24350;66;1415.00;3050.00
24603;67;1415.00;3050.00
24984;68;1415.00;3050.00
25235;69;1415.00;3050.00
25679;70;1415.00;3050.00
26133;71;1415.00;3050.00
26401;72;1415.00;3050.00
26710;73;1415.00;3050.00
27176;74;1415.00;3050.00
27583;75;1415.00;3050.00
27882;76;1415.00;3050.00
28250;77;1415.00;3050.00
28651;78;1415.00;3050.00
29112;79;1415.00;3050.00
29521;80;1415.00;3050.00
29903;81;1415.00;3050.00
30303;82;1415.00;3050.00
30699;83;1415.00;3050.00
31011;84;1415.00;3050.00
31455;85;1415.00;3050.00
31843;86;1415.00;3050.00
32141;87;1415.00;3050.00
32390;88;1415.00;3050.00
32835;89;1415.00;3050.00
33152;90;1415.00;3050.00
33560;91;1415.00;3050.00
33870;92;1415.00;3050.00
34207;93;1415.00;3050.00
34472;94;1415.00;3050.00
34808;95;1415.00;3050.00
35239;96;1415.00;3050.00
35706;97;1415.00;3050.00
36089;98;1415.00;3050.00
36571;99;1415.00;3050.00
36963;100;1415.00;3050.00
37475;101;1415.00;3050.00
37861;102;1415.00;3050.00
38360;103;1415.00;3050.00
38806;104;1415.00;3050.00
39191;105;1415.00;3050.00
39674;106;1415.00;3050.00
40153;107;1415.00;3050.00
40424;108;1415.00;3050.00
40949;109;1415.00;3050.00
41237;110;1415.00;3050.00
41757;111;1415.00;3050.00
42244;112;1415.00;3050.00
42702;113;1415.00;3050.00
43014;114;1415.00;3050.00
43477;115;1415.00;3050.00
43900;116;1415.00;3050.00
44331;117;1415.00;3050.00
44722;118;1415.00;3050.00
45131;119;1415.00;3050.00
45542;120;1415.00;3050.00
46004;121;1415.00;3050.00
46420;122;1415.00;3050.00
46840;123;1415.00;3050.00
47159;124;1415.00;3050.00
47687;125;1415.00;3050.00
48099;126;1415.00;3050.00
48543;127;1415.00;3050.00
48977;128;1415.00;3050.00
49405;129;1415.00;3050.00
49799;130;1415.00;3050.00
50297;131;1415.00;3050.00
50798;132;1415.00;3050.00
51072;133;1415.00;3050.00
51440;134;1415.00;3050.00
51771;135;1415.00;3050.00
52134;136;1415.00;3050.00
52517;137;1415.00;3050.00
52932;138;1415.00;3050.00
53386;139;1415.00;3050.00
53637;140;1415.00;3050.00
54110;141;1415.00;3050.00
54580;142;1415.00;3050.00
54982;143;1415.00;3050.00
55361;144;1415.00;3050.00
55682;145;1415.00;3050.00
56112;146;1415.00;3050.00
56446;147;1415.00;3050.00
56787;148;1415.00;3050.00
57236;149;1415.00;3050.00
57767;150;1415.00;3050.00
58166;151;1415.00;3050.00
58619;152;1415.00;3050.00
59127;153;1415.00;3050.00
59509;154;1415.00;3050.00
59856;155;1415.00;3050.00
60307;156;1415.00;3050.00
60737;157;1415.00;3050.00
61116;158;1415.00;3050.00
61558;159;1415.00;3050.00
61913;160;1415.00;3050.00
62438;161;1415.00;3050.00
62928;162;1415.00;3050.00
63310;163;1415.00;3050.00
63743;164;1415.00;3050.00
64195;165;1415.00;3050.00
64498;166;1415.00;3050.00
64897;167;1415.00;3050.00
65241;168;1415.00;3050.00
65622;169;1415.00;3050.00
66053;170;1415.00;3050.00
66527;171;1415.00;3050.00
66939;172;1415.00;3050.00
67306;173;1415.00;3050.00
67694;174;1415.00;3050.00
68025;175;1415.00;3050.00
68356;176;1415.00;3050.00
68877;177;1415.00;3050.00
69443;178;1415.00;3050.00
69861;179;1415.00;3050.00
70426;180;1415.00;3050.00
70906;181;1415.00;3050.00
71304;182;1415.00;3050.00
71782;183;1415.00;3050.00
72175;184;1415.00;3050.00
72633;185;1415.00;3050.00
