time;iter;L;U
169;0;1415.00;inf
540;1;1415.00;inf
984;2;1415.00;inf
1451;3;1415.00;inf
1893;4;1415.00;inf
2359;5;1415.00;inf
2753;6;1415.00;inf
3169;7;1415.00;inf
3600;8;1415.00;inf
3847;9;1415.00;3345.00
4212;10;1415.00;3135.00
4574;11;1415.00;3135.00
5132;12;1415.00;3135.00
5437;13;1415.00;3135.00
5732;14;1415.00;3135.00
6174;15;1415.00;3135.00
6605;16;1415.00;3135.00
6910;17;1415.00;3135.00
7203;18;1415.00;3135.00
7656;19;1415.00;3135.00
8111;20;1415.00;3135.00
8558;21;1415.00;3135.00
8985;22;1415.00;3135.00
9292;23;1415.00;3135.00
9715;24;1415.00;3135.00
10027;25;1415.00;3110.00
10479;26;1415.00;3110.00
10797;27;1415.00;3110.00
11174;28;1415.00;3110.00
11463;29;1415.00;3110.00
11999;30;1415.00;3110.00
12421;31;1415.00;3110.00
12799;32;1415.00;3110.00
13313;33;1415.00;3110.00
13746;34;1415.00;3110.00
14088;35;1415.00;3110.00
14545;36;1415.00;3110.00
14797;37;1415.00;3110.00
15163;38;1415.00;3110.00
15609;39;1415.00;3110.00
15847;40;1415.00;3110.00
16285;41;1415.00;3110.00
16578;42;1415.00;3110.00
16931;43;1415.00;3110.00
17150;44;1415.00;3110.00
17434;45;1415.00;3110.00
17869;46;1415.00;3110.00
18423;47;1415.00;3110.00
18868;48;1415.00;3110.00
19159;49;1415.00;3050.00
19417;50;1415.00;3050.00
19905;51;1415.00;3050.00
20304;52;1415.00;3050.00
20720;53;1415.00;3050.00
21075;54;1415.00;3050.00
21451;55;1415.00;3050.00
21915;56;1415.00;3050.00
22220;57;1415.00;3050.00
22632;58;1415.00;3050.00
23006;59;1415.00;3050.00
23332;60;1415.00;3050.00
23793;61;1415.00;3050.00
24082;62;1415.00;3050.00
24521;63;1415.00;3050.00
24873;64;1415.00;3050.00
25393;65;1415.00;3050.00
25854;66;1415.00;3050.00
26118;67;1415.00;3050.00
26512;68;1415.00;3050.00
26767;69;1415.00;3050.00
27224;70;1415.00;3050.00
27687;71;1415.00;3050.00
27961;72;1415.00;3050.00
28282;73;1415.00;3050.00
28755;74;1415.00;3050.00
29162;75;1415.00;3050.00
29478;76;1415.00;3050.00
29851;77;1415.00;3050.00
30265;78;1415.00;3050.00
30762;79;1415.00;3050.00
31177;80;1415.00;3050.00
31563;81;1415.00;3050.00
31976;82;1415.00;3050.00
32381;83;1415.00;3050.00
32704;84;1415.00;3050.00
33181;85;1415.00;3050.00
