time;iter;L;U
20;0;5480.61;inf
77;1;5508.23;inf
168;2;5519.96;inf
240;3;5529.95;inf
303;4;5537.23;inf
365;5;5567.64;inf
455;6;5593.14;inf
560;7;5598.73;inf
678;8;5631.49;inf
773;9;5647.69;inf
854;10;5651.16;inf
908;11;5653.77;inf
974;12;5657.08;inf
1051;13;5665.67;inf
1108;14;5670.09;inf
1170;15;5683.03;inf
1232;16;5684.18;inf
1316;17;5700.81;inf
1398;18;5709.68;inf
1465;19;5721.38;inf
1574;20;5726.82;inf
1634;21;5736.24;inf
1723;22;5736.31;inf
1784;23;5739.96;inf
1837;24;5740.40;inf
1882;25;5748.03;inf
1929;26;5750.29;inf
1978;27;5750.48;inf
2028;28;5754.92;inf
2081;29;5756.08;inf
2135;30;5761.70;inf
2187;31;5763.32;inf
2252;32;5767.73;inf
2313;33;5769.58;inf
2365;34;5775.56;inf
2419;35;5779.35;inf
2472;36;5782.20;inf
2520;37;5782.81;inf
2567;38;5784.36;inf
2611;39;5784.68;inf
2660;40;5784.68;inf
2708;41;5791.79;inf
2757;42;5792.23;inf
2807;43;5793.79;inf
2856;44;5794.57;inf
2901;45;5796.60;inf
2958;46;5796.93;inf
3012;47;5797.17;inf
3092;48;5798.22;inf
3172;49;5799.57;inf
3219;50;5802.61;inf
3285;51;5804.15;inf
3336;52;5810.87;inf
3404;53;5812.99;inf
3462;54;5815.52;inf
3509;55;5818.77;inf
3557;56;5820.79;inf
3608;57;5821.72;inf
3669;58;5821.72;inf
3726;59;5824.05;inf
3771;60;5828.51;inf
3815;61;5828.93;inf
3863;62;5831.97;inf
3919;63;5832.69;inf
3967;64;5833.55;inf
4011;65;5834.05;inf
4057;66;5836.26;inf
4108;67;5837.42;inf
4156;68;5837.57;inf
4203;69;5837.57;inf
4249;70;5840.14;inf
4307;71;5841.26;inf
4356;72;5841.77;inf
4403;73;5843.76;inf
4451;74;5844.54;inf
4501;75;5847.78;inf
4554;76;5848.38;inf
4603;77;5850.06;inf
4654;78;5851.60;inf
4700;79;5852.85;inf
4747;80;5853.09;inf
4790;81;5853.57;inf
4836;82;5855.38;inf
4884;83;5855.65;inf
4929;84;5855.74;inf
4977;85;5855.86;inf
5028;86;5857.70;inf
5075;87;5859.05;inf
5123;88;5860.80;inf
5183;89;5861.30;inf
5233;90;5861.67;inf
5285;91;5862.32;inf
5333;92;5864.37;inf
5392;93;5864.57;inf
5444;94;5865.45;inf
5491;95;5866.78;inf
5539;96;5866.82;inf
5586;97;5867.02;inf
5630;98;5868.20;inf
5681;99;5868.62;inf
5728;100;5868.83;inf
5776;101;5874.99;inf
5825;102;5875.47;inf
5876;103;5875.85;inf
5923;104;5875.94;inf
5976;105;5876.95;inf
6026;106;5877.85;inf
6069;107;5878.63;inf
6118;108;5878.88;inf
6173;109;5879.39;inf
6225;110;5879.50;inf
6273;111;5879.78;inf
6319;112;5881.65;inf
6365;113;5881.79;inf
6415;114;5882.39;inf
6469;115;5883.23;inf
6514;116;5883.79;inf
6573;117;5884.68;inf
6625;118;5885.73;inf
6672;119;5885.96;inf
6721;120;5887.81;inf
6774;121;5891.25;inf
6824;122;5891.67;inf
6870;123;5891.83;inf
6918;124;5892.77;inf
6963;125;5892.81;inf
7013;126;5893.75;inf
7065;127;5894.98;inf
7109;128;5895.71;inf
7161;129;5895.90;inf
7214;130;5898.17;inf
7261;131;5898.98;inf
7315;132;5900.18;inf
7362;133;5901.31;inf
7410;134;5902.54;inf
7459;135;5902.55;inf
7508;136;5902.83;inf
7554;137;5903.67;inf
7604;138;5903.76;inf
7653;139;5904.88;inf
7699;140;5905.07;inf
7742;141;5905.30;inf
7791;142;5905.57;inf
7845;143;5905.80;inf
7898;144;5905.86;inf
7945;145;5907.86;inf
8012;146;5907.89;inf
8058;147;5908.82;inf
8107;148;5909.08;inf
8153;149;5909.08;inf
8202;150;5909.76;inf
8249;151;5910.67;inf
8303;152;5910.67;inf
8352;153;5910.97;inf
8400;154;5911.13;inf
8445;155;5911.60;inf
8492;156;5911.78;inf
8537;157;5911.91;inf
8587;158;5912.97;inf
8640;159;5914.12;inf
8690;160;5914.40;inf
8737;161;5914.40;inf
8786;162;5914.47;inf
8836;163;5916.71;inf
8885;164;5918.59;inf
8936;165;5918.88;inf
8978;166;5919.01;inf
9030;167;5919.68;inf
9079;168;5920.09;inf
9126;169;5920.15;inf
9173;170;5920.39;inf
9225;171;5921.42;inf
9281;172;5922.22;inf
9329;173;5922.55;inf
9379;174;5922.55;inf
9433;175;5922.99;inf
9480;176;5924.16;inf
9528;177;5924.17;inf
9576;178;5924.34;inf
9630;179;5924.64;inf
9682;180;5924.90;inf
9730;181;5924.91;inf
9778;182;5925.22;inf
9824;183;5925.59;inf
9874;184;5926.71;inf
9923;185;5926.87;inf
9970;186;5928.37;inf
10013;187;5929.14;inf
10066;188;5931.38;inf
10116;189;5932.05;inf
10169;190;5933.32;inf
10239;191;5933.78;inf
10302;192;5934.26;inf
10357;193;5934.63;inf
10404;194;5934.99;inf
10451;195;5935.73;inf
10505;196;5937.32;inf
10553;197;5937.37;inf
10605;198;5937.52;inf
10655;199;5937.73;inf
10709;200;5938.26;inf
10756;201;5938.26;inf
10804;202;5938.83;inf
10856;203;5938.84;inf
10904;204;5939.66;inf
10950;205;5939.66;inf
10995;206;5940.38;inf
11040;207;5940.58;inf
11084;208;5941.77;inf
11134;209;5942.62;inf
11185;210;5942.85;inf
11235;211;5944.83;inf
11286;212;5945.75;inf
11335;213;5946.28;inf
11380;214;5947.73;inf
11429;215;5947.75;inf
11478;216;5948.11;inf
11525;217;5948.50;inf
11580;218;5948.67;inf
11626;219;5949.75;inf
11679;220;5949.87;inf
11727;221;5950.88;inf
11774;222;5951.29;inf
11829;223;5951.75;inf
11877;224;5951.92;inf
11926;225;5952.28;inf
11973;226;5953.39;inf
12029;227;5953.81;inf
12083;228;5953.99;inf
12135;229;5954.14;inf
12184;230;5954.14;inf
12232;231;5955.08;inf
12281;232;5955.33;inf
12332;233;5955.41;inf
12385;234;5955.66;inf
12431;235;5956.42;inf
12476;236;5956.57;inf
12523;237;5956.75;inf
12571;238;5956.87;inf
12616;239;5956.98;inf
12666;240;5957.58;inf
12714;241;5958.13;inf
12769;242;5958.86;inf
12817;243;5960.60;inf
12868;244;5960.75;inf
12916;245;5961.45;inf
12966;246;5962.09;inf
13014;247;5962.82;inf
13065;248;5962.97;inf
13112;249;5962.98;inf
13161;250;5963.40;inf
13210;251;5963.85;inf
13254;252;5963.89;inf
13303;253;5964.52;inf
13350;254;5964.61;inf
13400;255;5964.85;inf
13449;256;5965.42;inf
13497;257;5965.72;inf
13542;258;5966.30;inf
13590;259;5966.46;inf
13637;260;5966.76;inf
13685;261;5966.82;inf
13730;262;5967.34;inf
13778;263;5967.47;inf
13828;264;5967.47;inf
13877;265;5968.80;inf
13926;266;5969.90;inf
13972;267;5969.96;inf
14027;268;5970.10;inf
14073;269;5970.55;inf
14121;270;5971.20;inf
14167;271;5971.22;inf
14212;272;5971.32;inf
14262;273;5971.91;inf
14312;274;5972.08;inf
14361;275;5972.08;inf
14409;276;5972.38;inf
14461;277;5973.02;inf
14505;278;5973.07;inf
14555;279;5973.99;inf
14606;280;5974.24;inf
14657;281;5974.73;inf
14703;282;5975.13;inf
14752;283;5975.46;inf
14802;284;5975.64;inf
14857;285;5975.67;inf
14914;286;5975.97;inf
14967;287;5976.03;inf
15021;288;5976.15;inf
15075;289;5976.35;inf
15124;290;5976.61;inf
15176;291;5976.92;inf
15229;292;5978.47;inf
15285;293;5978.61;inf
15335;294;5978.88;inf
15385;295;5978.94;inf
15436;296;5979.02;inf
15491;297;5979.23;inf
15540;298;5979.33;inf
15590;299;5979.59;inf
15648;300;5980.52;inf
15694;301;5980.66;inf
15743;302;5981.36;inf
15793;303;5981.36;inf
15845;304;5981.45;inf
15912;305;5982.76;inf
15965;306;5983.07;inf
16013;307;5983.21;inf
16071;308;5983.27;inf
16141;309;5983.33;inf
16191;310;5983.76;inf
16253;311;5983.86;inf
16308;312;5984.16;inf
16356;313;5984.31;inf
16404;314;5984.79;inf
16454;315;5984.91;inf
16508;316;5985.28;inf
16562;317;5985.54;inf
16615;318;5985.64;inf
16675;319;5985.91;inf
16735;320;5986.21;inf
16785;321;5986.23;inf
16835;322;5986.25;inf
16887;323;5986.73;inf
16936;324;5987.02;inf
16983;325;5987.04;inf
17035;326;5987.26;inf
17093;327;5987.30;inf
17151;328;5987.67;inf
17203;329;5987.74;inf
17252;330;5988.10;inf
17310;331;5988.35;inf
17363;332;5988.63;inf
17420;333;5988.91;inf
17479;334;5990.19;inf
17530;335;5990.51;inf
17581;336;5990.82;inf
17634;337;5991.54;inf
17687;338;5992.32;inf
17738;339;5992.40;inf
17791;340;5992.40;inf
17841;341;5992.41;inf
17889;342;5993.24;inf
17940;343;5993.35;inf
17991;344;5993.49;inf
18042;345;5993.61;inf
18132;346;5994.02;inf
18219;347;5994.05;inf
18299;348;5995.30;inf
18348;349;5996.60;inf
18401;350;5996.65;inf
18451;351;5996.83;inf
18503;352;5996.92;inf
18560;353;5997.16;inf
18616;354;5997.32;inf
18668;355;5997.32;inf
18721;356;5997.88;inf
18775;357;5998.10;inf
18824;358;5998.46;inf
18874;359;5999.62;inf
18924;360;5999.66;inf
18981;361;5999.74;inf
19030;362;6000.02;inf
19080;363;6000.18;inf
19127;364;6000.87;inf
19180;365;6001.51;inf
19228;366;6001.81;inf
19278;367;6002.31;inf
19333;368;6002.89;inf
19380;369;6003.02;inf
19442;370;6003.32;inf
19493;371;6003.97;inf
19546;372;6004.18;inf
19601;373;6004.73;inf
19654;374;6004.74;inf
19706;375;6005.47;inf
19752;376;6005.59;inf
19801;377;6005.61;inf
19850;378;6005.95;inf
19900;379;6005.95;inf
19950;380;6006.92;inf
20000;381;6007.05;inf
20052;382;6007.16;inf
20100;383;6007.64;inf
20147;384;6007.98;inf
20194;385;6008.23;inf
20244;386;6008.36;inf
20298;387;6008.93;inf
20343;388;6009.30;inf
20393;389;6009.31;inf
20443;390;6009.37;inf
20492;391;6009.40;inf
20540;392;6009.44;inf
20594;393;6009.52;inf
20649;394;6009.61;inf
20697;395;6009.65;inf
20749;396;6009.75;inf
20797;397;6010.03;inf
20852;398;6010.21;inf
20899;399;6010.35;inf
20944;400;6010.49;inf
20990;401;6010.63;inf
21048;402;6010.72;inf
21094;403;6011.01;inf
21141;404;6011.08;inf
21187;405;6011.24;inf
21237;406;6011.27;inf
21294;407;6011.71;inf
21339;408;6011.75;inf
21385;409;6011.85;inf
21434;410;6012.26;inf
21488;411;6012.41;inf
21547;412;6012.79;inf
21595;413;6013.10;inf
21646;414;6013.16;inf
21693;415;6013.25;inf
21747;416;6013.82;inf
21798;417;6013.87;inf
21845;418;6013.91;inf
21896;419;6013.95;inf
21944;420;6014.19;inf
21994;421;6014.33;inf
22045;422;6014.35;inf
22094;423;6014.54;inf
22160;424;6014.74;inf
22207;425;6014.97;inf
22259;426;6015.15;inf
22317;427;6015.16;inf
22365;428;6016.09;inf
22412;429;6016.26;inf
22461;430;6016.32;inf
22513;431;6016.62;inf
22560;432;6016.77;inf
22612;433;6016.82;inf
22672;434;6016.85;inf
22751;435;6017.03;inf
22795;436;6017.05;inf
22845;437;6017.36;inf
22898;438;6017.46;inf
22960;439;6018.18;inf
23007;440;6018.20;inf
23061;441;6018.35;inf
23119;442;6018.80;inf
23176;443;6018.83;inf
23226;444;6018.92;inf
23285;445;6019.05;inf
23336;446;6019.20;inf
23389;447;6019.25;inf
23440;448;6019.36;inf
23489;449;6019.36;inf
23545;450;6019.38;inf
23593;451;6019.79;inf
23643;452;6020.01;inf
23696;453;6020.10;inf
23754;454;6020.21;inf
23810;455;6020.28;inf
23864;456;6020.39;inf
23919;457;6020.47;inf
23994;458;6020.49;inf
24053;459;6020.49;inf
24107;460;6020.72;inf
24159;461;6021.17;inf
24205;462;6021.40;inf
24250;463;6021.88;inf
24303;464;6022.01;inf
24355;465;6022.01;inf
24413;466;6022.37;inf
24461;467;6022.52;inf
24510;468;6022.52;inf
24560;469;6022.74;inf
24611;470;6022.98;inf
24662;471;6023.08;inf
24714;472;6023.36;inf
24766;473;6023.38;inf
24820;474;6023.72;inf
24872;475;6023.80;inf
24921;476;6023.98;inf
24973;477;6024.16;inf
25023;478;6024.17;inf
25072;479;6024.21;inf
25119;480;6025.26;inf
25170;481;6025.38;inf
25224;482;6025.54;inf
25276;483;6025.80;inf
25327;484;6026.07;inf
25374;485;6026.30;inf
25431;486;6026.73;inf
25492;487;6026.79;inf
25539;488;6026.86;inf
25589;489;6027.47;inf
25641;490;6027.88;inf
25692;491;6028.02;inf
25740;492;6028.88;inf
25790;493;6028.90;inf
25838;494;6029.24;inf
25891;495;6029.55;inf
25948;496;6029.97;inf
26001;497;6030.03;inf
26047;498;6030.13;inf
26100;499;6030.33;inf
26156;500;6030.43;inf
