time;iter;L;U
982;0;5480.61;inf
2915;1;5541.86;inf
4859;2;5541.86;inf
6680;3;5541.86;inf
8580;4;5541.86;inf
10381;5;5541.86;inf
12129;6;5541.86;inf
13795;7;5541.86;inf
15358;8;5541.86;inf
16864;9;5541.86;inf
18211;10;5541.86;inf
19515;11;5541.86;inf
20781;12;5541.86;inf
21952;13;5541.86;inf
23030;14;5541.86;inf
23991;15;5541.86;inf
24897;16;5541.86;inf
25715;17;5541.86;10070.00
26305;18;5541.86;10070.00
26698;19;5541.86;9200.00
27020;20;5541.86;9030.00
27296;21;5541.86;9030.00
27474;22;5541.86;9020.00
27565;23;5541.86;9020.00
29660;24;5621.01;9020.00
31702;25;5621.01;9020.00
33675;26;5621.01;9020.00
35653;27;5621.01;9020.00
37553;28;5621.01;9020.00
39265;29;5621.01;9020.00
40888;30;5621.01;9020.00
42269;31;5621.01;9020.00
43491;32;5621.01;9020.00
44631;33;5621.01;9020.00
45706;34;5621.01;9020.00
46661;35;5621.01;9020.00
47553;36;5621.01;9020.00
48358;37;5621.01;9020.00
49129;38;5621.01;9020.00
49813;39;5621.01;8450.00
50090;40;5621.01;8240.00
52042;41;5655.21;8240.00
53886;42;5655.21;8240.00
55899;43;5655.21;8240.00
57945;44;5655.21;8240.00
60023;45;5655.21;8240.00
61983;46;5655.21;8240.00
63710;47;5655.21;8240.00
65219;48;5655.21;8240.00
66571;49;5655.21;8240.00
67748;50;5655.21;8240.00
68856;51;5655.21;8240.00
69969;52;5655.21;8240.00
70989;53;5655.21;8240.00
71940;54;5655.21;8240.00
72809;55;5655.21;8240.00
73360;56;5655.21;8240.00
73384;57;5655.21;8240.00
75421;58;5715.64;8240.00
77394;59;5715.64;8240.00
79294;60;5715.64;8240.00
81161;61;5715.64;8240.00
83158;62;5715.64;8240.00
85094;63;5715.64;8240.00
87011;64;5715.64;8240.00
88652;65;5715.64;8240.00
90137;66;5715.64;8240.00
91436;67;5715.64;8240.00
92626;68;5715.64;8240.00
93744;69;5715.64;8240.00
94826;70;5715.64;8240.00
95840;71;5715.64;8240.00
96741;72;5715.64;8240.00
97588;73;5715.64;8240.00
98168;74;5715.64;8240.00
98472;75;5715.64;8240.00
98499;76;5715.64;8240.00
100658;77;5743.71;8240.00
102697;78;5743.71;8240.00
104558;79;5743.71;8240.00
106356;80;5743.71;8240.00
108125;81;5743.71;8240.00
109863;82;5743.71;8240.00
111490;83;5743.71;8240.00
113054;84;5743.71;8240.00
114415;85;5743.71;8240.00
115696;86;5743.71;8240.00
116870;87;5743.71;8240.00
118066;88;5743.71;8240.00
119218;89;5743.71;8240.00
120171;90;5743.71;8240.00
121069;91;5743.71;8240.00
121885;92;5743.71;8240.00
122364;93;5743.71;8240.00
122387;94;5743.71;8240.00
124578;95;5818.76;8240.00
126611;96;5818.76;8240.00
128503;97;5818.76;8240.00
130466;98;5818.76;8240.00
132384;99;5818.76;8240.00
134209;100;5818.76;8240.00
135967;101;5818.76;8240.00
137593;102;5818.76;8240.00
139147;103;5818.76;8240.00
140515;104;5818.76;8240.00
141724;105;5818.76;8240.00
142754;106;5818.76;8240.00
143771;107;5818.76;8240.00
144538;108;5818.76;8240.00
144558;109;5818.76;8240.00
146888;110;5840.12;8240.00
148903;111;5840.12;8240.00
150689;112;5840.12;8240.00
152494;113;5840.12;8240.00
154221;114;5840.12;8240.00
155888;115;5840.12;8240.00
157452;116;5840.12;8240.00
158846;117;5840.12;8240.00
160180;118;5840.12;8240.00
161506;119;5840.12;8240.00
162697;120;5840.12;8240.00
163817;121;5840.12;8240.00
164727;122;5840.12;8240.00
164752;123;5840.12;8240.00
166879;124;5879.28;8240.00
168914;125;5879.28;8240.00
170909;126;5879.28;8240.00
172816;127;5879.28;8240.00
174740;128;5879.28;8240.00
176587;129;5879.28;8240.00
178247;130;5879.28;8240.00
179885;131;5879.28;8240.00
181505;132;5879.28;8240.00
183083;133;5879.28;8240.00
184550;134;5879.28;8240.00
185827;135;5879.28;8240.00
186665;136;5879.28;8240.00
186688;137;5879.28;8240.00
188584;138;5897.75;8240.00
190583;139;5897.75;8240.00
192509;140;5897.75;8240.00
194409;141;5897.75;8240.00
196234;142;5897.75;8240.00
197939;143;5897.75;8240.00
199380;144;5897.75;8240.00
200726;145;5897.75;8240.00
202030;146;5897.75;8240.00
203267;147;5897.75;8240.00
204415;148;5897.75;8240.00
205434;149;5897.75;8240.00
206259;150;5897.75;8240.00
206693;151;5897.75;8240.00
206718;152;5897.75;8240.00
208694;153;5909.96;8240.00
210663;154;5909.96;8240.00
212684;155;5909.96;8240.00
214642;156;5909.96;8240.00
216532;157;5909.96;8240.00
218336;158;5909.96;8240.00
220097;159;5909.96;8240.00
221663;160;5909.96;8240.00
222981;161;5909.96;8240.00
224272;162;5909.96;8240.00
225544;163;5909.96;8240.00
226721;164;5909.96;8240.00
227791;165;5909.96;8240.00
228740;166;5909.96;8240.00
229148;167;5909.96;8240.00
229171;168;5909.96;8240.00
231227;169;5922.51;8240.00
233218;170;5922.51;8240.00
235322;171;5922.51;8240.00
237382;172;5922.51;8240.00
239411;173;5922.51;8240.00
241321;174;5922.51;8240.00
243027;175;5922.51;8240.00
244604;176;5922.51;8240.00
246044;177;5922.51;8240.00
247501;178;5922.51;8240.00
248757;179;5922.51;8240.00
249962;180;5922.51;8240.00
250899;181;5922.51;8240.00
250920;182;5922.51;8240.00
252885;183;5934.89;8240.00
254856;184;5934.89;8240.00
256835;185;5934.89;8240.00
258805;186;5934.89;8240.00
260620;187;5934.89;8240.00
262259;188;5934.89;8240.00
263733;189;5934.89;8240.00
265079;190;5934.89;8240.00
266373;191;5934.89;8240.00
267683;192;5934.89;8240.00
268797;193;5934.89;8240.00
269855;194;5934.89;8240.00
270702;195;5934.89;8240.00
270727;196;5934.89;8240.00
272735;197;5940.46;8240.00
274732;198;5940.46;8240.00
