time;iter;L;U
28;0;0.00;inf
83;1;-0.00;976.00
133;2;-0.00;976.00
184;3;-0.00;976.00
232;4;-0.00;386.00
283;5;-0.00;331.00
332;6;-0.00;331.00
387;7;-0.00;331.00
432;8;-0.00;331.00
477;9;-0.00;331.00
525;10;-0.00;331.00
572;11;-0.00;232.00
616;12;-0.00;232.00
659;13;-0.00;232.00
699;14;-0.00;232.00
740;15;-0.00;232.00
786;16;-0.00;232.00
810;17;-0.00;168.00
850;18;-0.00;168.00
893;19;-0.00;168.00
931;20;-0.00;112.00
968;21;-0.00;112.00
1009;22;-0.00;112.00
1051;23;-0.00;112.00
1112;24;-0.00;112.00
1164;25;-0.00;112.00
1206;26;-0.00;112.00
1252;27;-0.00;112.00
1296;28;-0.00;112.00
1338;29;-0.00;112.00
1381;30;-0.00;112.00
1421;31;-0.00;112.00
1459;32;-0.00;112.00
1482;33;-0.00;112.00
1523;34;-0.00;112.00
1563;35;-0.00;112.00
1607;36;-0.00;112.00
1648;37;-0.00;112.00
1686;38;-0.00;112.00
1725;39;-0.00;112.00
1763;40;-0.00;112.00
1801;41;-0.00;112.00
1826;42;-0.00;112.00
1869;43;-0.00;112.00
1909;44;-0.00;112.00
1949;45;-0.00;112.00
2004;46;-0.00;112.00
2040;47;-0.00;112.00
2074;48;-0.00;112.00
2103;49;-0.00;112.00
2133;50;-0.00;112.00
2172;51;-0.00;112.00
2201;52;-0.00;112.00
2221;53;-0.00;112.00
2242;54;-0.00;112.00
2261;55;-0.00;112.00
2280;56;-0.00;48.00
2317;57;-0.00;48.00
2354;58;-0.00;48.00
2377;59;-0.00;48.00
2412;60;-0.00;48.00
2436;61;-0.00;48.00
2467;62;-0.00;48.00
2496;63;-0.00;48.00
2522;64;-0.00;48.00
2558;65;-0.00;48.00
2593;66;-0.00;48.00
2628;67;-0.00;48.00
2660;68;-0.00;48.00
2691;69;-0.00;48.00
2721;70;-0.00;48.00
2741;71;-0.00;48.00
2761;72;-0.00;48.00
2780;73;-0.00;48.00
2800;74;-0.00;48.00
2841;75;-0.00;48.00
2876;76;-0.00;48.00
2907;77;-0.00;48.00
2944;78;-0.00;48.00
2982;79;-0.00;48.00
3017;80;-0.00;48.00
3049;81;-0.00;48.00
3088;82;-0.00;48.00
3113;83;-0.00;48.00
3148;84;-0.00;48.00
3171;85;-0.00;48.00
3194;86;-0.00;48.00
3216;87;-0.00;48.00
3235;88;-0.00;48.00
3259;89;-0.00;48.00
3280;90;-0.00;48.00
3317;91;-0.00;48.00
3349;92;-0.00;48.00
3378;93;-0.00;48.00
3397;94;-0.00;48.00
3424;95;-0.00;48.00
3454;96;-0.00;48.00
3477;97;-0.00;48.00
3522;98;-0.00;48.00
3564;99;-0.00;48.00
3607;100;-0.00;48.00
3645;101;-0.00;48.00
3683;102;-0.00;48.00
3711;103;-0.00;48.00
3734;104;-0.00;48.00
3760;105;-0.00;48.00
3803;106;-0.00;48.00
3829;107;-0.00;48.00
3853;108;-0.00;48.00
3877;109;-0.00;48.00
3916;110;-0.00;48.00
3941;111;-0.00;48.00
3965;112;-0.00;48.00
4001;113;-0.00;48.00
4034;114;-0.00;48.00
4068;115;-0.00;48.00
4093;116;-0.00;48.00
4120;117;-0.00;48.00
4145;118;-0.00;48.00
4166;119;-0.00;48.00
4187;120;-0.00;48.00
4213;121;-0.00;48.00
4255;122;-0.00;48.00
4283;123;-0.00;48.00
4309;124;-0.00;48.00
4332;125;-0.00;48.00
4369;126;-0.00;48.00
4392;127;-0.00;48.00
4415;128;-0.00;48.00
4441;129;-0.00;48.00
4487;130;-0.00;48.00
4528;131;-0.00;48.00
4553;132;-0.00;48.00
4590;133;-0.00;48.00
4641;134;-0.00;48.00
4690;135;-0.00;48.00
4735;136;-0.00;48.00
4778;137;-0.00;48.00
4820;138;-0.00;48.00
4862;139;-0.00;48.00
4906;140;-0.00;48.00
4947;141;-0.00;48.00
4984;142;-0.00;48.00
5024;143;-0.00;48.00
5065;144;-0.00;48.00
5103;145;-0.00;48.00
5144;146;-0.00;48.00
5183;147;-0.00;48.00
5218;148;-0.00;48.00
5251;149;-0.00;48.00
5287;150;-0.00;48.00
5327;151;-0.00;48.00
5367;152;-0.00;48.00
5409;153;-0.00;48.00
5447;154;-0.00;48.00
5483;155;-0.00;48.00
5526;156;-0.00;48.00
5564;157;-0.00;48.00
5603;158;-0.00;48.00
5641;159;-0.00;48.00
5679;160;-0.00;48.00
5714;161;-0.00;48.00
5747;162;-0.00;48.00
5780;163;-0.00;48.00
5811;164;-0.00;48.00
5832;165;-0.00;48.00
5867;166;-0.00;48.00
5903;167;-0.00;48.00
5937;168;-0.00;48.00
5980;169;-0.00;48.00
6022;170;-0.00;48.00
6062;171;-0.00;48.00
6103;172;-0.00;48.00
6143;173;-0.00;48.00
6183;174;-0.00;48.00
6208;175;-0.00;48.00
6248;176;-0.00;48.00
6289;177;-0.00;48.00
6329;178;-0.00;48.00
6355;179;-0.00;48.00
6395;180;-0.00;48.00
6417;181;-0.00;48.00
6452;182;-0.00;48.00
6490;183;-0.00;48.00
6531;184;-0.00;48.00
6556;185;-0.00;48.00
6593;186;-0.00;48.00
6632;187;-0.00;48.00
6670;188;-0.00;48.00
6709;189;-0.00;48.00
6748;190;-0.00;48.00
6782;191;-0.00;48.00
6815;192;-0.00;48.00
6847;193;-0.00;48.00
6878;194;-0.00;48.00
6912;195;-0.00;48.00
6933;196;-0.00;48.00
6968;197;-0.00;48.00
6996;198;-0.00;48.00
7032;199;-0.00;48.00
7067;200;-0.00;48.00
7101;201;-0.00;48.00
7136;202;-0.00;48.00
7177;203;-0.00;48.00
7207;204;-0.00;48.00
7232;205;-0.00;48.00
7255;206;-0.00;48.00
7290;207;-0.00;48.00
7326;208;-0.00;48.00
7374;209;-0.00;48.00
7412;210;-0.00;48.00
7451;211;-0.00;48.00
7485;212;-0.00;48.00
7532;213;-0.00;48.00
7578;214;-0.00;48.00
7601;215;-0.00;48.00
7635;216;-0.00;48.00
7661;217;-0.00;48.00
7691;218;-0.00;48.00
7723;219;-0.00;48.00
7770;220;-0.00;48.00
7874;221;-0.00;48.00
7937;222;-0.00;48.00
8004;223;-0.00;48.00
8052;224;-0.00;48.00
8092;225;-0.00;48.00
8134;226;-0.00;48.00
8160;227;-0.00;48.00
8195;228;-0.00;48.00
8228;229;-0.00;48.00
8256;230;-0.00;48.00
8294;231;-0.00;48.00
8334;232;-0.00;48.00
8360;233;-0.00;48.00
8407;234;-0.00;48.00
8439;235;-0.00;48.00
8481;236;-0.00;48.00
8522;237;-0.00;48.00
8544;238;-0.00;48.00
8578;239;-0.00;48.00
8609;240;-0.00;48.00
8675;241;-0.00;48.00
8708;242;-0.00;48.00
8747;243;-0.00;48.00
8786;244;-0.00;48.00
8811;245;-0.00;48.00
8846;246;-0.00;48.00
8877;247;-0.00;48.00
8908;248;-0.00;48.00
8927;249;-0.00;48.00
8950;250;-0.00;48.00
8989;251;-0.00;48.00
9026;252;-0.00;48.00
9061;253;-0.00;48.00
9083;254;-0.00;48.00
9115;255;-0.00;48.00
9145;256;-0.00;48.00
9178;257;-0.00;48.00
9209;258;-0.00;48.00
9229;259;-0.00;48.00
9255;260;-0.00;48.00
9286;261;-0.00;48.00
9315;262;-0.00;48.00
9352;263;-0.00;48.00
9375;264;-0.00;48.00
9410;265;-0.00;48.00
9446;266;-0.00;48.00
9482;267;-0.00;48.00
9517;268;-0.00;48.00
9559;269;-0.00;48.00
9586;270;-0.00;48.00
9628;271;-0.00;48.00
9660;272;-0.00;48.00
9706;273;-0.00;48.00
9748;274;-0.00;48.00
9773;275;-0.00;48.00
9808;276;-0.00;48.00
9834;277;-0.00;48.00
9868;278;-0.00;48.00
9910;279;-0.00;48.00
9952;280;-0.00;48.00
9976;281;-0.00;48.00
10014;282;-0.00;48.00
10040;283;-0.00;48.00
10080;284;-0.00;48.00
10106;285;-0.00;48.00
10141;286;-0.00;48.00
10166;287;-0.00;48.00
10200;288;-0.00;48.00
10231;289;-0.00;48.00
10252;290;-0.00;48.00
10274;291;-0.00;48.00
10296;292;-0.00;48.00
10334;293;-0.00;48.00
10368;294;-0.00;48.00
10401;295;-0.00;48.00
10434;296;-0.00;48.00
10459;297;-0.00;48.00
10501;298;-0.00;48.00
10539;299;-0.00;48.00
