time;iter;L;U
26;0;5480.61;inf
73;1;5508.23;inf
122;2;5519.96;inf
166;3;5519.96;inf
208;4;5519.96;inf
250;5;5519.96;inf
294;6;5519.96;inf
337;7;5519.96;inf
382;8;5519.96;inf
427;9;5519.96;inf
475;10;5519.96;inf
522;11;5519.96;inf
574;12;5519.96;inf
626;13;5519.96;inf
679;14;5519.96;inf
731;15;5519.96;inf
784;16;5519.96;inf
840;17;5519.96;inf
897;18;5519.96;inf
940;19;5519.96;inf
983;20;5537.23;inf
1028;21;5564.12;inf
1074;22;5598.73;inf
1123;23;5598.73;inf
1175;24;5598.73;inf
1224;25;5598.73;inf
1274;26;5598.73;inf
1322;27;5598.73;inf
1371;28;5598.73;inf
1421;29;5598.73;inf
1478;30;5598.73;inf
1532;31;5598.73;inf
1584;32;5598.73;inf
1626;33;5598.73;inf
1672;34;5637.19;inf
1720;35;5637.19;inf
1765;36;5637.19;inf
1813;37;5637.19;inf
1867;38;5637.19;inf
1922;39;5637.19;inf
1975;40;5637.19;inf
2024;41;5637.19;inf
2077;42;5637.19;inf
2132;43;5637.19;inf
2190;44;5637.19;inf
2249;45;5637.19;inf
2311;46;5637.19;inf
2367;47;5637.19;inf
2422;48;5637.19;inf
2481;49;5637.19;inf
2535;50;5637.19;inf
2589;51;5637.19;inf
2637;52;5637.19;inf
2690;53;5653.77;inf
2739;54;5653.77;inf
2789;55;5653.77;inf
2842;56;5653.77;inf
2895;57;5653.77;inf
2949;58;5653.77;inf
3003;59;5653.77;inf
3057;60;5653.77;inf
3115;61;5653.77;inf
3168;62;5653.77;inf
3223;63;5653.77;inf
3276;64;5653.77;inf
3330;65;5653.77;inf
3385;66;5653.77;inf
3439;67;5653.77;inf
3494;68;5653.77;inf
3550;69;5653.77;inf
3602;70;5653.77;inf
3657;71;5653.77;inf
3716;72;5653.77;inf
3774;73;5653.77;inf
3827;74;5653.77;inf
3878;75;5653.77;inf
3934;76;5653.77;inf
3992;77;5653.77;inf
4052;78;5653.77;inf
4109;79;5653.77;inf
4169;80;5653.77;inf
4230;81;5653.77;inf
4277;82;5653.77;inf
4323;83;5657.08;inf
4371;84;5657.08;inf
4418;85;5657.08;inf
4465;86;5657.08;inf
4510;87;5657.08;inf
4559;88;5657.08;inf
4608;89;5657.08;inf
4659;90;5657.08;inf
4711;91;5657.08;inf
4767;92;5657.08;inf
4818;93;5657.08;inf
4872;94;5657.08;inf
4924;95;5657.08;inf
4981;96;5657.08;inf
5038;97;5657.08;inf
5095;98;5657.08;inf
5150;99;5657.08;inf
5205;100;5657.08;inf
5259;101;5657.08;inf
5316;102;5657.08;inf
5373;103;5657.08;inf
5427;104;5657.08;inf
5484;105;5657.08;inf
5541;106;5657.08;inf
5601;107;5657.08;inf
5658;108;5657.08;inf
5714;109;5657.08;inf
5773;110;5657.08;inf
5836;111;5657.08;inf
5891;112;5657.08;inf
5946;113;5657.08;inf
6006;114;5657.08;inf
6053;115;5657.08;inf
6096;116;5724.31;inf
6145;117;5724.31;inf
6197;118;5724.31;inf
6246;119;5724.31;inf
6294;120;5724.31;inf
