time;iter;L;U
122;0;6765.21;inf
394;1;6766.38;inf
602;2;6766.83;inf
860;3;6767.52;inf
1032;4;6767.52;inf
1213;5;6767.52;inf
1360;6;6767.52;inf
1478;7;6767.52;inf
1617;8;6767.52;7109.54
1726;9;6767.52;7109.54
1840;10;6767.52;7109.54
1910;11;6767.52;7109.54
1958;12;6767.52;7109.54
1997;13;6767.52;7109.54
2027;14;6767.52;7109.54
2062;15;6767.52;7063.47
2085;16;6767.52;7063.47
2110;17;6767.52;7063.47
2259;18;6767.95;7063.47
2394;19;6767.95;7063.47
2511;20;6767.95;7063.47
2650;21;6767.95;7063.47
2770;22;6767.95;7063.47
2836;23;6767.95;7063.47
2919;24;6767.95;7063.47
2974;25;6767.95;7063.47
3033;26;6767.95;7063.47
3071;27;6767.95;7063.47
3129;28;6767.95;7063.47
3181;29;6767.95;7063.47
3233;30;6767.95;7063.47
3285;31;6767.95;7063.47
3327;32;6767.95;7063.47
3360;33;6767.95;7063.47
3392;34;6767.95;7063.47
3421;35;6767.95;7063.47
3463;36;6767.95;7063.47
3477;37;6767.95;7063.47
3490;38;6767.95;7063.47
3526;39;6767.95;7063.47
3542;40;6767.95;7063.47
3550;41;6767.95;7063.47
3613;42;6768.37;7063.47
3657;43;6768.37;7063.47
3728;44;6768.37;7063.47
3770;45;6768.37;7063.47
3824;46;6768.37;7063.47
3874;47;6768.37;7063.47
3907;48;6768.37;7063.47
3957;49;6768.37;7063.47
3982;50;6768.37;7063.47
4004;51;6768.37;7063.47
4021;52;6768.37;7063.47
4031;53;6768.37;7063.47
4057;54;6768.37;7063.47
4094;55;6768.37;7063.47
4136;56;6768.37;7063.47
4159;57;6768.37;7063.47
4170;58;6768.37;7063.47
4181;59;6768.37;7063.47
4192;60;6768.37;7063.47
4202;61;6768.37;7063.47
4213;62;6768.37;7063.47
4232;63;6768.37;7063.47
4243;64;6768.37;7063.47
4254;65;6768.37;7063.47
4265;66;6768.37;7063.47
4271;67;6768.37;7063.47
4310;68;6768.41;7063.47
4352;69;6768.41;7063.47
4387;70;6768.41;7063.47
4412;71;6768.41;7063.47
4437;72;6768.41;7063.47
4476;73;6768.41;7063.47
4487;74;6768.41;7063.47
4505;75;6768.41;7063.47
4522;76;6768.41;7063.47
4557;77;6768.41;7063.47
4576;78;6768.41;7063.47
4595;79;6768.41;7063.47
4612;80;6768.41;7063.47
4623;81;6768.41;7063.47
4634;82;6768.41;7063.47
4646;83;6768.41;7063.47
4657;84;6768.41;7063.47
4677;85;6768.41;7063.47
4686;86;6768.41;7063.47
4745;87;6768.43;7063.47
4768;88;6768.43;7063.47
4778;89;6768.43;7063.47
4796;90;6768.43;7063.47
4805;91;6768.43;7063.47
4821;92;6768.43;7063.47
4831;93;6768.43;7063.47
4841;94;6768.43;7063.47
4851;95;6768.43;7063.47
4863;96;6768.43;7063.47
4873;97;6768.43;7063.47
4883;98;6768.43;7063.47
4895;99;6768.43;7063.47
4904;100;6768.43;7063.47
4931;101;6768.43;7063.47
4953;102;6769.04;7063.47
4979;103;6769.04;7063.47
5005;104;6769.11;7063.47
5015;105;6769.11;7063.47
5026;106;6769.11;7063.47
5037;107;6769.11;7063.47
5055;108;6769.11;7063.47
5066;109;6769.11;7063.47
5077;110;6769.11;7063.47
5088;111;6769.11;7063.47
5101;112;6769.11;7063.47
5113;113;6769.11;7063.47
5122;114;6769.11;7063.47
5133;115;6769.25;7063.47
5144;116;6769.25;7063.47
5154;117;6769.25;7063.47
5164;118;6769.25;7063.47
5174;119;6769.25;7063.47
5184;120;6769.25;7063.47
5194;121;6769.25;7063.47
5205;122;6769.25;7063.47
5216;123;6769.25;7063.47
5227;124;6769.25;7063.47
5239;125;6769.25;7063.47
5250;126;6769.25;7063.47
5262;127;6769.25;7063.47
5272;128;6769.25;7063.47
5282;129;6769.44;7063.47
5292;130;6769.44;7063.47
5303;131;6769.44;7063.47
5313;132;6769.44;7063.47
5323;133;6769.44;7063.47
5335;134;6769.44;7063.47
5345;135;6769.44;7063.47
5356;136;6769.44;7063.47
5367;137;6769.44;7063.47
5378;138;6769.44;7063.47
5388;139;6769.44;7063.47
5400;140;6769.44;6969.70
5411;141;6769.44;6969.70
5422;142;6769.44;6969.70
5431;143;6769.44;6969.70
5441;144;6769.51;6969.70
5451;145;6769.51;6969.70
5461;146;6769.51;6969.70
5471;147;6769.51;6969.70
5481;148;6769.51;6969.70
5492;149;6769.51;6969.70
5503;150;6769.51;6969.70
5513;151;6769.51;6969.70
5523;152;6769.51;6969.70
5534;153;6769.51;6969.70
5544;154;6769.51;6969.70
5555;155;6769.51;6969.70
5567;156;6769.51;6944.27
5577;157;6769.51;6944.27
5588;158;6769.73;6944.27
5614;159;6769.73;6944.27
5630;160;6769.73;6944.27
5641;161;6769.73;6944.27
5653;162;6769.73;6944.27
5663;163;6769.73;6944.27
5673;164;6769.73;6944.27
5683;165;6769.73;6944.27
5693;166;6769.73;6944.27
5703;167;6769.73;6944.27
5714;168;6769.73;6944.27
5726;169;6769.73;6944.27
5735;170;6769.73;6944.27
5746;171;6769.76;6944.27
5756;172;6769.76;6944.27
5766;173;6769.76;6944.27
5776;174;6769.76;6944.27
5791;175;6769.76;6944.27
