time;iter;L;U
25;0;0.00;inf
76;1;-0.00;1291.00
123;2;-0.00;1291.00
168;3;-0.00;1291.00
213;4;-0.00;1291.00
215;5;-0.00;1291.00
217;6;-0.00;1291.00
218;7;-0.00;1291.00
220;8;-0.00;1291.00
222;9;-0.00;1291.00
224;10;-0.00;212.00
227;11;-0.00;212.00
229;12;-0.00;212.00
232;13;-0.00;115.00
234;14;-0.00;115.00
236;15;-0.00;115.00
239;16;-0.00;115.00
241;17;-0.00;115.00
243;18;-0.00;115.00
246;19;-0.00;115.00
247;20;-0.00;115.00
250;21;-0.00;115.00
252;22;-0.00;115.00
253;23;-0.00;115.00
255;24;-0.00;115.00
257;25;-0.00;115.00
259;26;-0.00;115.00
261;27;-0.00;115.00
262;28;-0.00;115.00
264;29;-0.00;115.00
266;30;-0.00;115.00
268;31;-0.00;115.00
270;32;-0.00;115.00
272;33;-0.00;115.00
274;34;-0.00;115.00
275;35;-0.00;115.00
277;36;-0.00;115.00
279;37;-0.00;115.00
281;38;-0.00;115.00
283;39;-0.00;115.00
285;40;-0.00;115.00
286;41;-0.00;115.00
288;42;-0.00;115.00
290;43;-0.00;115.00
293;44;-0.00;115.00
296;45;-0.00;115.00
298;46;-0.00;115.00
299;47;-0.00;115.00
301;48;-0.00;115.00
303;49;-0.00;115.00
305;50;-0.00;115.00
306;51;-0.00;115.00
308;52;-0.00;115.00
310;53;-0.00;115.00
312;54;-0.00;115.00
314;55;-0.00;115.00
316;56;-0.00;115.00
318;57;-0.00;115.00
320;58;-0.00;115.00
323;59;-0.00;115.00
325;60;-0.00;115.00
327;61;-0.00;115.00
329;62;-0.00;115.00
331;63;-0.00;115.00
333;64;-0.00;115.00
335;65;-0.00;115.00
337;66;-0.00;115.00
339;67;-0.00;115.00
341;68;-0.00;115.00
343;69;-0.00;115.00
346;70;-0.00;115.00
348;71;-0.00;115.00
350;72;-0.00;115.00
352;73;-0.00;115.00
354;74;-0.00;115.00
355;75;-0.00;115.00
358;76;-0.00;115.00
360;77;-0.00;115.00
363;78;-0.00;115.00
364;79;-0.00;115.00
366;80;-0.00;115.00
368;81;-0.00;115.00
370;82;-0.00;115.00
372;83;-0.00;115.00
373;84;-0.00;115.00
376;85;-0.00;115.00
378;86;-0.00;115.00
380;87;-0.00;115.00
382;88;-0.00;115.00
384;89;-0.00;115.00
386;90;-0.00;115.00
389;91;-0.00;115.00
390;92;-0.00;115.00
392;93;-0.00;115.00
395;94;-0.00;115.00
397;95;-0.00;115.00
399;96;-0.00;115.00
401;97;-0.00;115.00
402;98;-0.00;115.00
404;99;-0.00;115.00
406;100;-0.00;115.00
408;101;-0.00;115.00
410;102;-0.00;115.00
412;103;-0.00;115.00
413;104;-0.00;115.00
416;105;-0.00;115.00
418;106;-0.00;115.00
420;107;-0.00;115.00
422;108;-0.00;115.00
424;109;-0.00;115.00
426;110;-0.00;115.00
429;111;-0.00;59.00
431;112;-0.00;59.00
433;113;-0.00;59.00
435;114;-0.00;59.00
436;115;-0.00;59.00
439;116;-0.00;59.00
441;117;-0.00;59.00
443;118;-0.00;59.00
445;119;-0.00;59.00
447;120;-0.00;59.00
449;121;-0.00;59.00
451;122;-0.00;59.00
453;123;-0.00;59.00
455;124;-0.00;59.00
458;125;-0.00;59.00
460;126;-0.00;59.00
462;127;-0.00;59.00
464;128;-0.00;59.00
466;129;-0.00;59.00
468;130;-0.00;59.00
469;131;-0.00;59.00
471;132;-0.00;59.00
473;133;-0.00;59.00
476;134;-0.00;59.00
478;135;-0.00;59.00
480;136;-0.00;59.00
482;137;-0.00;59.00
485;138;-0.00;59.00
487;139;-0.00;59.00
489;140;-0.00;59.00
491;141;-0.00;59.00
494;142;-0.00;59.00
496;143;-0.00;59.00
498;144;-0.00;59.00
500;145;-0.00;59.00
502;146;-0.00;59.00
504;147;-0.00;59.00
506;148;-0.00;59.00
509;149;-0.00;59.00
511;150;-0.00;59.00
513;151;-0.00;59.00
515;152;-0.00;59.00
517;153;-0.00;59.00
519;154;-0.00;59.00
521;155;-0.00;59.00
522;156;-0.00;59.00
524;157;-0.00;59.00
526;158;-0.00;59.00
528;159;-0.00;59.00
530;160;-0.00;59.00
533;161;-0.00;59.00
535;162;-0.00;59.00
537;163;-0.00;59.00
539;164;-0.00;59.00
541;165;-0.00;59.00
543;166;-0.00;59.00
546;167;-0.00;59.00
