time;iter;L;U
29;0;0.00;inf
80;1;0.00;inf
128;2;0.00;inf
130;3;0.00;inf
132;4;0.00;inf
134;5;-0.00;inf
135;6;-0.00;inf
137;7;-0.00;inf
140;8;-0.00;inf
141;9;-0.00;inf
143;10;-0.00;inf
145;11;-0.00;inf
147;12;-0.00;inf
149;13;-0.00;inf
151;14;-0.00;inf
153;15;-0.00;inf
155;16;-0.00;162.00
157;17;-0.00;162.00
159;18;-0.00;162.00
161;19;-0.00;162.00
163;20;-0.00;162.00
166;21;-0.00;137.00
168;22;-0.00;137.00
171;23;-0.00;137.00
173;24;-0.00;137.00
175;25;-0.00;137.00
177;26;-0.00;137.00
179;27;-0.00;137.00
181;28;-0.00;137.00
183;29;-0.00;137.00
185;30;-0.00;137.00
187;31;-0.00;137.00
189;32;-0.00;137.00
192;33;-0.00;137.00
195;34;-0.00;137.00
197;35;-0.00;137.00
199;36;-0.00;137.00
200;37;-0.00;137.00
203;38;-0.00;137.00
205;39;-0.00;137.00
208;40;-0.00;137.00
211;41;-0.00;137.00
213;42;-0.00;137.00
216;43;-0.00;137.00
218;44;-0.00;137.00
221;45;-0.00;137.00
222;46;-0.00;137.00
225;47;-0.00;137.00
226;48;-0.00;137.00
228;49;-0.00;137.00
230;50;-0.00;137.00
232;51;-0.00;137.00
235;52;-0.00;137.00
237;53;-0.00;137.00
239;54;-0.00;137.00
241;55;-0.00;137.00
244;56;-0.00;124.00
247;57;-0.00;97.00
250;58;-0.00;97.00
252;59;-0.00;97.00
254;60;-0.00;97.00
256;61;-0.00;97.00
258;62;-0.00;97.00
260;63;-0.00;97.00
262;64;-0.00;97.00
264;65;-0.00;97.00
267;66;-0.00;97.00
269;67;-0.00;97.00
271;68;-0.00;97.00
273;69;-0.00;97.00
275;70;-0.00;97.00
277;71;-0.00;97.00
279;72;-0.00;97.00
282;73;-0.00;97.00
284;74;-0.00;97.00
287;75;-0.00;97.00
288;76;-0.00;97.00
290;77;-0.00;97.00
292;78;-0.00;97.00
295;79;-0.00;97.00
297;80;-0.00;97.00
300;81;-0.00;95.00
302;82;-0.00;95.00
304;83;-0.00;95.00
306;84;-0.00;95.00
308;85;-0.00;30.00
311;86;-0.00;30.00
313;87;-0.00;30.00
315;88;-0.00;30.00
318;89;-0.00;30.00
319;90;-0.00;30.00
322;91;-0.00;30.00
324;92;-0.00;30.00
326;93;-0.00;30.00
328;94;-0.00;30.00
331;95;-0.00;30.00
333;96;-0.00;30.00
335;97;-0.00;30.00
337;98;-0.00;30.00
339;99;-0.00;30.00
341;100;-0.00;30.00
343;101;-0.00;30.00
345;102;-0.00;30.00
347;103;-0.00;30.00
348;104;-0.00;30.00
350;105;-0.00;30.00
353;106;-0.00;30.00
355;107;-0.00;30.00
357;108;-0.00;30.00
359;109;-0.00;30.00
361;110;-0.00;30.00
363;111;-0.00;30.00
365;112;-0.00;30.00
366;113;-0.00;30.00
