time;iter;L;U
25;0;0.00;inf
58;1;-0.00;976.00
67;2;-0.00;976.00
69;3;-0.00;976.00
72;4;-0.00;976.00
75;5;-0.00;976.00
110;6;-0.00;667.00
123;7;-0.00;667.00
139;8;-0.00;667.00
149;9;-0.00;667.00
168;10;-0.00;667.00
183;11;-0.00;667.00
196;12;-0.00;620.00
244;13;-0.00;200.00
261;14;-0.00;192.00
267;15;-0.00;192.00
281;16;-0.00;192.00
286;17;-0.00;192.00
293;18;-0.00;192.00
301;19;-0.00;192.00
313;20;-0.00;192.00
322;21;-0.00;192.00
329;22;-0.00;192.00
336;23;-0.00;192.00
341;24;-0.00;192.00
346;25;-0.00;192.00
351;26;-0.00;192.00
355;27;-0.00;192.00
358;28;-0.00;182.00
366;29;-0.00;170.00
370;30;-0.00;170.00
401;31;-0.00;170.00
419;32;-0.00;170.00
422;33;-0.00;170.00
425;34;-0.00;170.00
428;35;-0.00;170.00
434;36;-0.00;170.00
437;37;-0.00;170.00
440;38;-0.00;170.00
452;39;-0.00;170.00
467;40;-0.00;170.00
472;41;-0.00;170.00
484;42;-0.00;121.00
487;43;-0.00;121.00
490;44;-0.00;121.00
493;45;-0.00;121.00
498;46;-0.00;121.00
502;47;-0.00;80.00
516;48;-0.00;80.00
522;49;-0.00;80.00
525;50;-0.00;80.00
530;51;-0.00;80.00
533;52;-0.00;80.00
535;53;-0.00;80.00
538;54;-0.00;80.00
541;55;-0.00;80.00
544;56;-0.00;80.00
546;57;-0.00;80.00
549;58;-0.00;80.00
551;59;-0.00;80.00
554;60;-0.00;80.00
558;61;-0.00;77.00
561;62;-0.00;77.00
563;63;-0.00;77.00
566;64;-0.00;77.00
568;65;-0.00;77.00
570;66;-0.00;77.00
573;67;-0.00;77.00
575;68;-0.00;77.00
577;69;-0.00;77.00
580;70;-0.00;77.00
583;71;-0.00;77.00
585;72;-0.00;77.00
588;73;-0.00;77.00
592;74;-0.00;77.00
595;75;-0.00;77.00
598;76;-0.00;77.00
601;77;-0.00;77.00
605;78;-0.00;77.00
612;79;-0.00;77.00
621;80;-0.00;77.00
625;81;-0.00;77.00
629;82;-0.00;77.00
633;83;-0.00;77.00
637;84;-0.00;77.00
639;85;-0.00;77.00
644;86;-0.00;77.00
656;87;-0.00;77.00
666;88;-0.00;77.00
668;89;-0.00;35.00
671;90;-0.00;35.00
675;91;-0.00;35.00
680;92;-0.00;35.00
692;93;-0.00;35.00
722;94;-0.00;35.00
725;95;-0.00;35.00
729;96;-0.00;35.00
733;97;-0.00;35.00
736;98;-0.00;35.00
